symbol,rsrating,time
CAKE,126.3,2025-07-25
NVDA,126.28,2025-07-25
INSM,126.2,2025-07-25
SENEA,126.12,2025-07-25
ARKD,126.06,2025-07-25
FNGG,126.03,2025-07-25
SFIX,126.01,2025-07-25
PWR,125.96,2025-07-25
BWEB,125.93,2025-07-25
STCE,125.88,2025-07-25
BEGS,125.85,2025-07-25
WT,125.82,2025-07-25
JNUG,125.73,2025-07-25
ASMB,125.45,2025-07-25
VRSN,125.3,2025-07-25
RYAAY,125.25,2025-07-25
FTCI,125.21,2025-07-25
KULR,125.15,2025-07-25
SMTC,125.15,2025-07-25
SHAK,125.14,2025-07-25
RZLT,125.06,2025-07-25
UEC,125.0,2025-07-25
DNA,124.98,2025-07-25
MSFX,124.97,2025-07-25
KPLT,124.88,2025-07-25
VRT,124.88,2025-07-25
NUGT,124.87,2025-07-25
BTCO,124.85,2025-07-25
WW,124.81,2025-07-25
BTC,124.8,2025-07-25
HODL,124.72,2025-07-25
CMPO,124.71,2025-07-25
BTCW,124.71,2025-07-25
BRRR,124.71,2025-07-25
CG,124.69,2025-07-25
ARKB,124.69,2025-07-25
FBTC,124.65,2025-07-25
EZBC,124.63,2025-07-25
BITB,124.62,2025-07-25
BMBL,124.62,2025-07-25
CBRL,124.6,2025-07-25
PDEX,124.6,2025-07-25
CMCM,124.54,2025-07-25
AMD,124.54,2025-07-25
RILYG,124.54,2025-07-25
SOC,124.51,2025-07-25
SAND,124.49,2025-07-25
GREK,124.47,2025-07-25
ASTX,124.42,2025-07-25
IBIT,124.39,2025-07-25
DQ,124.36,2025-07-25
KB,124.32,2025-07-25
MGTX,124.26,2025-07-25
FLEX,124.2,2025-07-25
MNMD,124.2,2025-07-25
GEVX,124.17,2025-07-25
ESE,124.13,2025-07-25
BUZZ,124.11,2025-07-25
BCS,124.09,2025-07-25
NYC,124.06,2025-07-25
MTW,124.02,2025-07-25
KGC,123.99,2025-07-25
OM,123.97,2025-07-25
NTES,123.84,2025-07-25
EAT,123.8,2025-07-25
BASE,123.79,2025-07-25
AMPL,123.75,2025-07-25
MAG,123.68,2025-07-25
ZK,123.66,2025-07-25
GBTC,123.66,2025-07-25
KINS,123.64,2025-07-25
STRZ,123.59,2025-07-25
RDVT,123.58,2025-07-25
CEG,123.52,2025-07-25
WGMI,123.39,2025-07-25
CHCI,123.37,2025-07-25
SHG,123.34,2025-07-25
GTX,123.34,2025-07-25
IDCC,123.26,2025-07-25
CECO,123.21,2025-07-25
DK,123.16,2025-07-25
CX,123.11,2025-07-25
RCMT,123.07,2025-07-25
BITQ,123.05,2025-07-25
BTI,122.96,2025-07-25
CRMD,122.94,2025-07-25
TEL,122.9,2025-07-25
ZLAB,122.87,2025-07-25
MSFU,122.86,2025-07-25
C,122.84,2025-07-25
MCRI,122.75,2025-07-25
WRBY,122.71,2025-07-25
DLLL,122.69,2025-07-25
FN,122.66,2025-07-25
EXK,122.66,2025-07-25
SPRX,122.64,2025-07-25
BOOT,122.54,2025-07-25
TQQQ,122.48,2025-07-25
ELF,122.38,2025-07-25
VNM,122.34,2025-07-25
ARMH,122.3,2025-07-25
ROAD,122.26,2025-07-25
SIMO,122.26,2025-07-25
LIVE,122.24,2025-07-25
HUHU,122.21,2025-07-25
SERV,122.2,2025-07-25
KAR,122.2,2025-07-25
ALTG,122.2,2025-07-25
BYRN,122.19,2025-07-25
DECO,122.1,2025-07-25
BNKU,121.91,2025-07-25
RILYL,121.89,2025-07-25
DOCS,121.87,2025-07-25
CTLP,121.85,2025-07-25
TSM,121.8,2025-07-25
EVI,121.75,2025-07-25
OKLL,121.73,2025-07-25
BZ,121.72,2025-07-25
IRTC,121.7,2025-07-25
NTRS,121.57,2025-07-25
ECNS,121.5,2025-07-25
TDS,121.48,2025-07-25
SN,121.46,2025-07-25
HGV,121.46,2025-07-25
ESQ,121.46,2025-07-25
CCLDO,121.36,2025-07-25
CHN,121.24,2025-07-25
ASA,121.2,2025-07-25
IBLC,121.14,2025-07-25
IVZ,121.13,2025-07-25
AUBN,121.11,2025-07-25
URAN,121.08,2025-07-25
