Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
7708,ABT,Stock,94.12,16413776,Healthcare,Medical Devices,4.0,83.0,7.0,5.0,16707400.0,YES,11663,0.12,NO,2026-03-20,81271300.0,NO,2.3307,2.2421,13085716.0,16250060.0,137.49,81.97,163939450880,89.27,112.8,88.33,105.06
7704,DKNG,Stock,25.7,16446946,Consumer Cyclical,Gambling,4.0,21.0,54.0,3.0,12556700.0,YES,1739,0.0,NO,2022-01-26,90381900.0,NO,1.5121,1.4536,12617183.0,12627250.0,48.78,20.46,12750511104,24.95,29.51,24.97,26.91
7689,FLY,Stock,25.54,12512104,Industrials,Aerospace & Defense,4.0,0.0,11.0,19.0,12520700.0,YES,223,0.0,NO,2025-08-07,30556600.0,NO,3.424,3.1944,7961669.0,8583980.0,73.8,16.0,4194567680,38.03,29.25,36.95,29.59
7666,MOS,Stock,22.38,9436691,Basic Materials,Agricultural Inputs,4.0,15.0,7.0,14.0,9574800.0,YES,9677,0.05,NO,2013-07-30,61378400.0,NO,1.1507,1.08,9180795.0,11853860.0,38.23,19.8,7113408000,22.7,26.5,22.77,25.15
7806,NFLX,Stock,73.81,71081883,Communication Services,Entertainment,3.0,4.0,2.0,6.0,74881700.0,YES,6062,1.11,NO,2004-10-15,3234140000.0,NO,2.4507,2.3357,40960554.0,57952900.0,134.12,70.86,310799040512,86.03,97.04,84.73,89.41
7765,CPNG,Stock,17.58,21364185,Consumer Cyclical,Internet Retail,3.0,87.0,8.0,5.0,25818400.0,YES,1329,0.0,NO,2025-09-19,111561900.0,NO,1.0689,0.9989,23808490.0,25482710.0,34.08,14.92,31557228544,17.8,23.02,17.4,19.63
7778,KWEB,ETF,23.94,25122107,ETF,ETF,3.0,7.0,4.0,4.0,25519800.0,YES,3245,0.0,NO,2022-03-16,103268500.0,NO,0.5579,0.4536,25890819.0,20578040.0,43.37,23.23,0,27.62,33.74,27.1,30.98
7805,WDAY,Stock,124.21,10231706,Technology,Software - Application,3.0,48.0,13.0,1.0,10381100.0,YES,3444,2.47,NO,2024-12-20,46874100.0,NO,6.635,6.2379,5303125.0,6145390.0,249.85,110.36,30676574208,127.66,176.77,129.01,154.35
7735,FIGR,Stock,26.86,7497190,Financial Services,Capital Markets,3.0,2.0,4.0,2.0,9745500.0,YES,199,0.0,NO,2025-09-11,39451400.0,NO,1.9526,1.8705,4085690.0,5217930.0,78.0,25.01,5938768896,33.52,,33.06,38.65
7817,PLTR,Stock,112.93,59985261,Technology,Software - Infrastructure,2.0,5.0,2.0,2.0,61176800.0,YES,1441,1.65,NO,2024-09-20,450290500.0,NO,6.0068,5.6939,45065009.0,46628890.0,207.52,106.37,270728445952,136.46,158.85,135.73,150.06
7832,IBIT,ETF,33.85,58780094,ETF,ETF,2.0,3.0,5.0,4.0,59134700.0,YES,616,0.0,NO,2026-02-05,284371500.0,NO,1.3968,0.9764,44593916.0,49586780.0,71.82,32.84,0,41.0,48.51,40.3,43.09
7823,NKE,Stock,40.75,33599481,Consumer Cyclical,Footwear & Accessories,2.0,7.0,2.0,4.0,33919300.0,YES,11484,0.0,NO,1997-05-29,157445600.0,NO,1.46,1.3943,24770190.0,25857850.0,80.17,40.0,60346146816,44.14,57.94,43.99,53.85
7824,KTOS,Stock,47.21,28108905,Industrials,Aerospace & Defense,2.0,3.0,0.0,1.0,28193500.0,YES,6699,0.0,NO,2025-09-19,35427700.0,NO,3.3043,3.2871,4740898.0,6724100.0,134.0,41.87,8852817920,58.75,79.62,57.13,77.31
