Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
139,FLEX,133.37,131.52,3598596,Technology,Electronic Components,97.0,4.0,97.0,97.0,11.5929,10.0529,7051370.0,6481870.0,166.86,47.83,,48865374208,NO,147.86,137.68,82.66,142.94,93.03,8129,0.0,3600395,NO,NO,2005-10-26,102901552,-20.07
148,DRAM,62.04,60.59,68442277,ETF,ETF,97.0,89.0,,,6.2743,3.7986,37939904.0,71571760.0,81.34,26.14,,0,NO,68.08,59.04,,61.2,,66,0.0,68442277,YES,NO,2026-06-25,104823000,-23.73
149,VSXY,76.58,78.25,1058808,Consumer Cyclical,Apparel Retail,97.0,67.0,95.0,90.0,4.1707,3.9429,2311977.0,2209990.0,88.57,17.53,,6087476224,NO,79.7,64.75,51.3,67.87,58.86,1246,0.0,1058808,NO,NO,2024-03-07,25901500,-13.54
151,STM,68.54,67.28,8499982,Technology,Semiconductors,96.0,14.0,97.0,97.0,4.4557,3.1464,12526436.0,11475330.0,81.42,21.11,,61165084672,NO,73.56,67.54,39.26,69.15,45.58,7946,0.0,8499982,NO,NO,1994-12-08,41167800,-15.82
152,ELVN,50.8,50.92,1071101,Healthcare,Biotechnology,96.0,98.0,79.0,98.0,2.6546,2.6439,1365322.0,2268680.0,52.39,14.79,,3629064448,NO,46.4,42.78,30.02,43.98,34.95,1588,0.0,1096264,NO,NO,2022-09-07,25749275,-3.03
153,MKSI,349.39,349.57,1224246,Technology,Scientific & Technical Instruments,96.0,92.0,93.0,96.0,30.3828,24.1314,1309273.0,1910030.0,447.62,88.49,,23599243264,NO,377.6,335.05,227.65,342.85,266.23,6860,0.0,1224246,NO,NO,2017-11-21,9564400,-21.94
154,AMAT,570.5,554.5,7516879,Technology,Semiconductor Equipment & Materials,96.0,95.0,95.0,96.0,54.5379,40.7993,9112837.0,15032430.0,739.67,154.47,,452953866240,NO,598.97,500.05,345.23,519.2,399.62,11671,0.0,7516879,NO,NO,1997-10-24,245229200,-22.87
165,KLIC,104.23,105.87,1360218,Technology,Semiconductor Equipment & Materials,96.0,81.0,95.0,97.0,10.0368,9.1146,1013716.0,1718540.0,135.8,31.32,,5454656000,NO,118.99,106.88,67.85,109.49,79.95,13457,0.0,1360218,NO,NO,2000-08-03,23567800,-23.25
171,GH,156.17,162.92,3334783,Healthcare,Diagnostics & Research,96.0,95.0,96.0,92.0,8.14,7.1479,2717555.0,4801150.0,174.08,40.35,,20708130816,NO,143.03,121.32,99.5,130.16,108.22,1948,0.0,3334783,NO,NO,2026-06-26,18771300,-10.29
179,LRCX,333.15,326.13,7979648,Technology,Semiconductor Equipment & Materials,96.0,87.0,94.0,95.0,31.0279,23.5679,11184049.0,16232500.0,438.5,90.94,,416627720192,NO,371.64,325.43,226.03,332.51,260.8,10625,0.0,7979648,NO,NO,2012-06-04,298766000,-24.03
