Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,pct_below_52wh,pct_of_52wh
149,VISN,19.0,3890058.0,Technology,Communication Equipment,97.0,76.0,78.0,81.0,4073221.0,3429470.0,20.55,2.94,4209425408.0,No,7.542579075425794,92.45742092457421
151,GOLD,55.32,1352434.0,Financial Services,Capital Markets,97.0,98.0,98.0,97.0,649365.0,1145590.0,57.66,19.39,1363327488.0,No,4.058272632674291,95.94172736732571
152,EXK,11.36,9108986.0,Basic Materials,Silver,97.0,86.0,96.0,96.0,15347424.0,18928610.0,15.15,2.95,3341856256.0,No,25.016501650165026,74.98349834983497
153,MEXX,37.0,69782.0,ETF,ETF,97.0,98.0,97.0,96.0,39175.0,71510.0,37.7,8.44,,No,1.8567639257294501,98.14323607427055
154,IMNM,24.88,1128956.0,Healthcare,Biotechnology,97.0,95.0,96.0,97.0,2165355.0,1557810.0,27.65,5.15,2745141760.0,No,10.018083182640144,89.98191681735986
155,GRAL,100.07,723442.0,Healthcare,Diagnostics & Research,97.0,20.0,82.0,98.0,936183.0,832550.0,118.84,20.44,3900951040.0,No,15.794345338269952,84.20565466173005
156,POWL,584.22,470834.0,Industrials,Electrical Equipment & Parts,97.0,98.0,95.0,97.0,255454.0,356100.0,588.72,146.02,7093764096.0,No,0.7643701589889931,99.235629841011
157,COHR,227.68,6140697.0,Technology,Scientific & Technical Instruments,97.0,92.0,97.0,95.0,4821454.0,6409740.0,241.5,45.58,42685865984.0,No,5.722567287784677,94.27743271221533
158,ANNX,5.73,2051009.0,Healthcare,Biotechnology,97.0,62.0,98.0,97.0,2878626.0,2064750.0,7.18,1.28,854090176.0,No,20.19498607242339,79.80501392757661
159,SKE,31.43,950154.0,Basic Materials,Other Industrial Metals & Mining,97.0,95.0,98.0,95.0,938534.0,1612720.0,35.69,8.53,3805963520.0,No,11.936116559260292,88.06388344073972
160,BODI,10.84,49063.0,Communication Services,Internet Content & Information,97.0,73.0,98.0,97.0,249040.0,46560.0,12.66,3.38,76834320.0,No,14.375987361769354,85.62401263823065
161,GOOX,72.91,178729.0,ETF,ETF,97.0,26.0,86.0,97.0,169655.0,141920.0,85.83,16.85,,No,15.053011767447282,84.94698823255273
164,TPC,83.48,514524.0,Industrials,Engineering & Construction,97.0,91.0,86.0,90.0,530340.0,751980.0,84.65,18.34,4403006464.0,No,1.3821618428824591,98.61783815711755
165,FEIM,52.23,120829.0,Technology,Communication Equipment,97.0,14.0,96.0,95.0,251785.0,187140.0,61.47,13.69,510686496.0,No,15.031722791605665,84.96827720839434
167,LRCX,231.01,13702921.0,Technology,Semiconductor Equipment & Materials,97.0,88.0,93.0,97.0,12079768.0,14089020.0,251.87,56.32,290155462656.0,No,8.282050264025099,91.7179497359749
168,LQDA,43.04,1497987.0,Healthcare,Biotechnology,97.0,97.0,96.0,96.0,1816401.0,1810180.0,46.67,11.26,3744285440.0,No,7.77801585601029,92.22198414398972
169,IMDX,7.32,60747.0,Healthcare,Diagnostics & Research,97.0,22.0,69.0,97.0,51472.0,19640.0,8.51,1.95,209823680.0,No,13.983548766157455,86.01645123384255
170,DSGN,10.27,232814.0,Healthcare,Biotechnology,97.0,64.0,96.0,97.0,439263.0,332120.0,10.97,2.6,585017792.0,No,6.381039197812225,93.61896080218777
172,RVMD,97.49,2027258.0,Healthcare,Biotechnology,97.0,17.0,97.0,97.0,3453252.0,3325540.0,124.49,29.17,18846748672.0,No,21.688489035263878,78.31151096473612
173,LITX,66.43,714316.0,ETF,ETF,97.0,,,,907162.0,907162.0,67.74,27.7,,No,1.9338647770888517,98.06613522291114
174,GGLL,101.75,2474563.0,ETF,ETF,97.0,28.0,84.0,97.0,2054296.0,2109400.0,119.12,23.6,,No,14.58193418401612,85.41806581598388
175,ALB,163.37,2117205.0,Basic Materials,Specialty Chemicals,97.0,52.0,97.0,97.0,3565626.0,3568370.0,195.69,49.43,19228246016.0,No,16.515918033624608,83.48408196637538
176,ANAB,49.73,489036.0,Healthcare,Biotechnology,97.0,82.0,93.0,97.0,552695.0,397620.0,52.47,12.21,1391097216.0,No,5.222031637125981,94.77796836287402
177,SLVR,64.84,720566.0,ETF,ETF,97.0,81.0,97.0,95.0,586795.0,1303140.0,85.9,19.66,,No,24.516880093131547,75.48311990686844
178,SLVP,40.41,761422.0,ETF,ETF,97.0,85.0,96.0,96.0,957739.0,1994710.0,50.15,12.4,,No,19.421734795613165,80.57826520438684
180,CPSH,5.1,348487.0,Technology,Electronic Components,97.0,98.0,94.0,94.0,281778.0,687840.0,6.85,1.4,91694320.0,No,25.547445255474454,74.45255474452554
181,SRZN,22.8,144381.0,Healthcare,Biotechnology,97.0,88.0,98.0,97.0,123124.0,222600.0,25.47,5.9,195428400.0,No,10.48292108362779,89.5170789163722
182,LABU,166.47,510472.0,ETF,ETF,97.0,17.0,94.0,97.0,698977.0,606180.0,198.18,32.55,,No,16.0006055101423,83.9993944898577
183,BVN,36.95,1243051.0,Basic Materials,Other Precious Metals & Mining,97.0,93.0,97.0,95.0,1729688.0,2103190.0,41.29,12.27,9384814592.0,No,10.511019617340752,89.48898038265925
184,VIAV,26.38,5354319.0,Technology,Communication Equipment,97.0,98.0,95.0,97.0,4134460.0,7094980.0,26.84,8.1,6104050688.0,No,1.7138599105812253,98.28614008941877
185,ORKA,33.05,495844.0,Healthcare,Biotechnology,97.0,92.0,85.0,97.0,535291.0,417980.0,36.51,5.49,1599925120.0,No,9.476855655984664,90.52314434401534
186,SILJ,32.77,9958544.0,ETF,ETF,97.0,82.0,96.0,95.0,10925519.0,19742730.0,41.1,10.01,,No,20.267639902676393,79.7323600973236
187,WBD,27.36,33055429.0,Communication Services,Entertainment,97.0,18.0,84.0,97.0,41957583.0,22579360.0,30.0,7.52,67838758912.0,No,8.800000000000002,91.2
188,GDMN,114.71,49631.0,ETF,ETF,97.0,87.0,96.0,95.0,66700.0,132460.0,147.27,34.01,,No,22.10905140218647,77.89094859781352
189,AMLX,13.98,933705.0,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,90.0,59.0,94.0,1619450.0,1363950.0,17.49,2.6,1535277568.0,No,20.068610634648362,79.93138936535163
191,AU,103.95,2391081.0,Basic Materials,Gold,96.0,86.0,96.0,94.0,2917724.0,4236800.0,115.81,28.45,52483137536.0,No,10.240911838355927,89.75908816164407
192,DRTS,7.11,169096.0,Healthcare,Biotechnology,96.0,93.0,97.0,96.0,298383.0,372950.0,7.89,2.3,606228096.0,No,9.885931558935354,90.11406844106465
193,BORR,5.3,4986246.0,Energy,Oil & Gas Drilling,96.0,95.0,97.0,97.0,5352439.0,7577110.0,5.33,1.55,1626425856.0,No,0.5628517823639821,99.43714821763602
194,BELFA,205.83,54302.0,Technology,Electronic Components,96.0,96.0,95.0,94.0,43557.0,67580.0,208.15,53.95,2880604928.0,No,1.1145808311313923,98.88541916886861
197,CTNM,15.0,420886.0,Healthcare,Biotechnology,96.0,98.0,94.0,96.0,245909.0,274400.0,15.48,3.35,547941696.0,No,3.1007751937984525,96.89922480620154
198,BELFB,220.78,217465.0,Technology,Electronic Components,96.0,94.0,94.0,93.0,159414.0,183680.0,226.45,58.0,2795198976.0,No,2.5038639876352344,97.49613601236476
200,CGAU,17.33,1586692.0,Basic Materials,Gold,96.0,86.0,96.0,96.0,1554360.0,3121840.0,20.4,5.41,3502130432.0,No,15.049019607843139,84.95098039215686
201,INTC,50.59,111442568.0,Technology,Semiconductors,96.0,92.0,91.0,97.0,101755265.0,147294580.0,54.6,17.67,252706078720.0,No,7.34432234432234,92.65567765567766
202,DNTH,50.75,716664.0,Healthcare,Biotechnology,96.0,97.0,95.0,97.0,806888.0,968710.0,57.5,13.37,2193571840.0,No,11.73913043478261,88.26086956521739
203,SEPN,25.41,274114.0,Healthcare,Biotechnology,96.0,19.0,91.0,96.0,317849.0,290780.0,30.5,4.17,1137712256.0,No,16.688524590163933,83.31147540983606
