IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
4,EXP,220.15,Basic Materials,Building Materials,45.0,60.0,71.0,43.0,8.5328,8.1043,0.0,NO,NO
5,VMC,303.19,Basic Materials,Building Materials,44.0,80.0,50.0,43.0,10.4843,9.6686,1.07,NO,NO
1,AAON,107.62,Industrials,Building Products & Equipment,84.0,2.0,86.0,88.0,7.3407,6.4536,0.0,NO,NO
2,MAS,82.77,Industrials,Building Products & Equipment,83.0,93.0,90.0,85.0,2.4329,2.2514,0.71,NO,NO
3,SPXC,227.74,Industrials,Building Products & Equipment,73.0,38.0,61.0,62.0,11.8521,10.8893,0.0,NO,NO
4,CARR,70.07,Industrials,Building Products & Equipment,71.0,76.0,82.0,86.0,2.3566,1.9906,0.0,NO,NO
5,JCI,140.76,Industrials,Building Products & Equipment,71.0,39.0,41.0,71.0,5.39,4.6886,0.0,NO,NO
1,EBF,21.49,Industrials,Business Equipment & Supplies,52.0,71.0,19.0,73.0,0.6025,0.5818,0.0,NO,NO
1,HUT,97.14,Financial Services,Capital Markets,97.0,2.0,97.0,96.0,10.972,10.6352,0.0,NO,NO
2,WULF,21.18,Financial Services,Capital Markets,96.0,4.0,92.0,96.0,2.2229,2.0736,0.0,NO,NO
3,RIOT,22.11,Financial Services,Capital Markets,94.0,4.0,96.0,95.0,2.2139,2.0867,0.0,NO,NO
4,SNEX,120.55,Financial Services,Capital Markets,94.0,87.0,93.0,96.0,7.9036,7.7078,0.0,NO,NO
5,MRX,62.52,Financial Services,Capital Markets,93.0,94.0,92.0,93.0,3.447,3.447,0.0,NO,NO
1,GPRE,15.51,Basic Materials,Chemicals,92.0,23.0,11.0,93.0,0.7204,0.7046,0.0,NO,NO
2,REX,44.98,Basic Materials,Chemicals,86.0,16.0,31.0,89.0,1.3032,1.2832,0.0,NO,NO
3,ACNT,15.26,Basic Materials,Chemicals,59.0,86.0,72.0,12.0,0.5936,0.59,0.33,NO,NO
4,WLKP,22.36,Basic Materials,Chemicals,41.0,23.0,22.0,78.0,0.4131,0.4109,0.0,NO,NO
5,MEOH,45.47,Basic Materials,Chemicals,36.0,2.0,1.0,65.0,2.0793,1.8543,1.98,NO,NO
1,ODC,100.34,Process industries,Chemicals: agricultural,94.0,96.0,93.0,96.0,3.4032,3.3704,0.0,NO,NO
1,HCC,80.83,Basic Materials,Coking Coal,66.0,2.0,6.0,11.0,3.7757,3.6389,0.69,NO,NO
2,AMR,160.0,Basic Materials,Coking Coal,15.0,2.0,3.0,5.0,9.2414,8.6679,1.5,NO,NO
1,LITE,728.32,Technology,Communication Equipment,98.0,1.0,11.0,96.0,74.5389,67.8507,0.0,NO,NO
2,SILC,42.59,Technology,Communication Equipment,97.0,21.0,97.0,98.0,5.0593,4.6729,0.0,NO,NO
3,VSAT,83.06,Technology,Communication Equipment,97.0,89.0,96.0,97.0,6.9521,6.6314,0.0,NO,NO
4,WATT,24.09,Technology,Communication Equipment,97.0,3.0,94.0,98.0,2.3817,2.2353,0.0,NO,NO
5,AAOI,120.95,Technology,Communication Equipment,97.0,0.0,91.0,98.0,18.1978,16.8832,0.0,NO,NO
1,SNDK,1745.0,Technology,Computer Hardware,98.0,64.0,98.0,98.0,233.5507,175.5975,0.0,NO,NO
2,WDC,539.0,Technology,Computer Hardware,98.0,22.0,96.0,98.0,69.4811,53.1282,0.0,NO,NO
3,STX,820.16,Technology,Computer Hardware,98.0,9.0,96.0,97.0,93.5421,80.0029,0.0,NO,NO
4,ALOT,28.51,Technology,Computer Hardware,97.0,98.0,98.0,98.0,1.135,0.3029,0.0,NO,NO
5,DELL,394.32,Technology,Computer Hardware,97.0,12.0,97.0,98.0,30.7264,28.4004,0.0,NO,NO
1,MDLZ,60.91,Consumer Defensive,Confectioners,34.0,45.0,46.0,60.0,1.6329,1.47,0.69,NO,NO
2,HSY,182.14,Consumer Defensive,Confectioners,12.0,37.0,7.0,30.0,5.235,4.7471,0.95,NO,NO
1,FBYD,19.23,Industrials,Conglomerates,95.0,95.0,94.0,74.0,1.8629,1.8507,0.0,NO,NO
2,VMI,555.35,Industrials,Conglomerates,90.0,66.0,90.0,88.0,20.3986,17.9093,0.0,NO,NO
3,AIRT,28.87,Industrials,Conglomerates,87.0,95.0,88.0,92.0,1.7104,1.3589,4.34,NO,NO
4,RCMT,28.5,Industrials,Conglomerates,86.0,94.0,93.0,91.0,1.1946,1.1918,0.0,NO,NO
5,BOC,15.09,Industrials,Conglomerates,74.0,85.0,84.0,81.0,0.4892,0.4776,0.94,NO,NO
1,EFTY,15.02,Industrials,Consulting Services,89.0,40.0,12.0,32.0,0.0,0.0,0.0,NO,NO
2,ICFI,74.99,Industrials,Consulting Services,13.0,80.0,68.0,9.0,3.3614,3.2379,0.0,NO,NO
3,FCN,153.59,Industrials,Consulting Services,8.0,53.0,5.0,10.0,5.8393,5.5943,0.7,NO,NO
4,VRSK,188.35,Industrials,Consulting Services,6.0,75.0,36.0,7.0,6.3482,6.1411,0.53,NO,NO
5,EFX,172.07,Industrials,Consulting Services,4.0,29.0,12.0,5.0,6.5586,6.4111,1.28,NO,NO
1,AAPL,308.63,Technology,Consumer Electronics,80.0,30.0,80.0,65.0,8.9414,8.595,0.0,NO,NO
2,SONY,20.79,Technology,Consumer Electronics,6.0,12.0,16.0,6.0,0.4979,0.3107,2.13,NO,NO
1,OC,151.06,Process industries,Containers/Packaging,81.0,95.0,91.0,87.0,7.4529,7.0743,0.0,NO,NO
1,HBM,22.59,Basic Materials,Copper,87.0,1.0,36.0,66.0,1.5382,1.2689,0.0,NO,NO
2,SCCO,172.01,Basic Materials,Copper,82.0,6.0,15.0,78.0,7.8793,6.46,1.3,NO,NO
3,FCX,60.97,Basic Materials,Copper,78.0,6.0,20.0,75.0,2.6371,2.1514,0.0,NO,NO
4,ERO,26.21,Basic Materials,Copper,58.0,4.0,10.0,11.0,1.642,1.4311,0.0,NO,NO
1,SEZL,183.24,Financial Services,Credit Services,97.0,98.0,98.0,97.0,11.1291,10.3434,0.43,NO,NO
2,ENVA,235.19,Financial Services,Credit Services,95.0,97.0,95.0,91.0,8.4225,8.2575,0.0,NO,NO
3,EZPW,35.59,Financial Services,Credit Services,95.0,89.0,90.0,95.0,1.6179,1.61,0.0,NO,NO
4,ECPG,90.61,Financial Services,Credit Services,94.0,91.0,86.0,94.0,2.8882,2.8639,0.0,NO,NO
5,ATLC,96.4,Financial Services,Credit Services,93.0,90.0,96.0,89.0,6.7511,6.5818,0.0,NO,NO
1,KSS,18.19,Consumer Cyclical,Department Stores,88.0,90.0,91.0,10.0,1.0596,1.0046,0.0,NO,NO
2,M,23.25,Consumer Cyclical,Department Stores,87.0,80.0,86.0,44.0,1.0318,0.9318,0.0,NO,NO
3,DDS,547.21,Consumer Cyclical,Department Stores,15.0,14.0,11.0,10.0,22.5893,21.5457,0.52,NO,NO
1,OLLI,74.21,Retail trade,Department stores,1.0,17.0,3.0,2.0,3.7171,3.6504,0.0,NO,NO
1,BDSX,21.99,Healthcare,Diagnostics & Research,97.0,97.0,93.0,98.0,2.0935,1.9749,0.0,NO,NO
2,VCYT,57.08,Healthcare,Diagnostics & Research,94.0,92.0,96.0,88.0,2.7696,2.6531,0.0,NO,NO
3,CDNA,29.19,Healthcare,Diagnostics & Research,93.0,96.0,95.0,92.0,1.4904,1.4215,0.0,NO,NO
4,ILMN,188.68,Healthcare,Diagnostics & Research,93.0,91.0,93.0,90.0,6.93,6.6736,1.56,NO,NO
5,ADPT,21.19,Healthcare,Diagnostics & Research,91.0,97.0,93.0,85.0,1.3161,1.265,0.0,NO,NO
1,PSMT,197.9,Consumer Defensive,Discount Stores,92.0,91.0,87.0,93.0,4.9629,4.8957,0.74,NO,NO
2,TBBB,42.07,Consumer Defensive,Discount Stores,87.0,86.0,80.0,83.0,1.4675,1.4675,0.53,NO,NO
3,DLTR,124.05,Consumer Defensive,Discount Stores,69.0,89.0,67.0,31.0,4.825,4.4557,1.82,NO,NO
