Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
8199,MAGY,46.92,122229.00,ETF,ETF,13.00,56.00,20.00,13.00,90446.00,71680.00,58.34,43.01,,No,,46.20,52.43,45.70,50.14
8200,TWI,7.67,372508.00,Industrials,Farm & Heavy Construction Machinery,13.00,8.00,3.00,32.00,1068758.00,712570.00,11.70,6.43,493732928.00,No,,7.87,8.37,7.66,8.37
8201,METCB,10.69,33715.00,Basic Materials,Coking Coal,13.00,60.00,9.00,7.00,31414.00,26060.00,21.85,6.97,702088640.00,No,,10.76,13.28,10.60,12.09
8202,PAY,26.67,744994.00,Technology,Software - Infrastructure,13.00,76.00,74.00,8.00,643325.00,589800.00,40.43,22.02,3354801664.00,No,,26.08,30.26,25.97,28.66
8203,INGR,106.20,539902.00,Consumer Defensive,Packaged Foods,13.00,8.00,14.00,33.00,663906.00,866090.00,141.78,100.71,6690599936.00,No,,112.00,116.49,111.30,112.72
8204,BHDG,22.65,9234.00,ETF,ETF,13.00,9.00,,,16852.00,4150.00,26.67,22.65,,No,,,,,
8205,CNM,48.91,1273966.00,Industrials,Industrial Distribution,13.00,11.00,11.00,22.00,2509823.00,1938500.00,67.18,43.96,9523777536.00,No,,50.09,53.98,49.33,52.10
8206,SNN,29.10,1381294.00,Healthcare,Medical Devices,13.00,4.00,9.00,16.00,998070.00,1570490.00,38.79,27.97,12420595712.00,No,,32.63,34.29,31.83,33.36
8207,SCC,14.21,4160.00,ETF,ETF,13.00,6.00,24.00,21.00,29345.00,18240.00,19.60,13.12,,No,,15.64,15.11,15.64,14.93
8208,TOPW,39.11,101124.00,ETF,ETF,13.00,76.00,64.00,10.00,84705.00,75760.00,56.50,31.88,,No,,36.17,,36.40,40.94
8209,NMFC,8.07,523161.00,Financial Services,Asset Management,13.00,42.00,35.00,13.00,1144486.00,647720.00,11.04,7.48,762230784.00,No,,8.07,9.13,8.06,8.69
8210,PGR,196.91,1782866.00,Financial Services,Insurance - Property & Casualty,13.00,45.00,29.00,20.00,2919813.00,2474890.00,289.96,191.75,115061694464.00,No,,202.06,220.77,199.31,210.14
8211,EXOZ,9.80,1481.00,Healthcare,Biotechnology,13.00,3.00,20.00,8.00,4530.00,3190.00,18.40,7.08,82996104.00,No,,8.99,11.30,9.22,11.06
