Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
88,TNGX,25.20,25.44,1823453,Healthcare,Biotechnology,97.00,4.00,88.00,97.00,1.52,1.47,3827153.00,2176980.00,34.39,6.25,4248981504,NO,26.86,28.57,18.45,28.06,22.19,,1494,0.00,1823453,NO,NO,2023-08-09,74897800
89,MNPR,123.84,119.05,400012,Healthcare,Biotechnology,97.00,90.00,98.00,97.00,6.86,6.70,214320.00,217970.00,124.82,29.18,831235328,NO,114.01,95.67,72.82,105.13,73.55,,1671,0.00,400012,NO,NO,2024-09-12,40971400
90,ZETX,36.12,34.81,4922,ETF,ETF,97.00,98.00,98.00,98.00,3.55,2.97,56304.00,39240.00,39.23,11.82,0,NO,28.58,23.76,,24.08,,,133,0.00,4922,NO,NO,2026-06-18,688600
91,OKTG,29.07,30.15,7403,ETF,ETF,97.00,5.00,98.00,97.00,2.47,2.14,41629.00,11320.00,37.12,7.00,0,NO,30.68,28.17,,29.00,18.56,,186,0.00,7403,NO,NO,2026-05-29,411900
92,FRD,44.53,46.02,65400,Basic Materials,Steel,97.00,97.00,98.00,98.00,2.97,2.75,86200.00,119170.00,48.77,16.46,321185568,NO,39.59,35.90,23.91,37.70,26.16,,11701,0.00,65516,NO,NO,2005-02-22,876000
93,OSCX,118.28,111.95,1790,ETF,ETF,97.00,92.00,96.00,98.00,9.75,6.79,7022.00,6530.00,136.00,17.62,0,NO,105.07,106.82,59.60,110.38,66.42,,223,0.00,1790,NO,NO,2025-11-24,357050
94,NESR,33.54,35.29,2892614,Energy,Oil & Gas Equipment & Services,97.00,92.00,92.00,90.00,1.94,1.72,2211362.00,2518260.00,36.94,7.78,3383071744,NO,30.59,28.44,22.17,29.07,25.06,,531,0.00,2892614,NO,NO,2025-06-27,8949700
95,UNX,118.81,117.55,3679,ETF,ETF,97.00,98.00,98.00,98.00,7.25,5.70,6232.00,14500.00,273.00,18.37,0,NO,81.94,61.15,90.05,67.85,47.65,,230,1.00,3679,NO,NO,2026-02-11,1401460
96,CLMT,49.19,50.81,1063124,Basic Materials,Specialty Chemicals,97.00,93.00,96.00,96.00,2.52,2.45,1066359.00,1487490.00,51.50,13.19,4323714048,NO,44.30,39.42,29.46,40.83,34.22,,5170,0.00,1063124,NO,NO,2016-04-18,11492600
97,LBRX,48.94,48.77,161471,Healthcare,Biotechnology,97.00,98.00,96.00,97.00,3.12,3.12,322916.00,360060.00,49.97,13.36,1578764032,NO,42.59,35.61,26.45,38.03,30.36,,233,0.00,161471,NO,NO,2025-12-19,4085700
98,ELVN,59.39,60.07,675536,Healthcare,Biotechnology,97.00,84.00,95.00,97.00,2.82,2.81,1419809.00,910270.00,62.32,14.79,4351550464,NO,57.28,51.91,35.26,53.57,42.04,,1618,0.00,675536,NO,NO,2022-09-07,25749275
