Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
675,AROC,38.53,38.1,907913.0,Energy,Oil & Gas Equipment & Services,89.0,85.0,56.0,93.0,1.7729,1.7471,1891924.0,1846970.0,42.23,21.17,6752829440,NO,38.41,37.28,31.35,37.18,34.26,,4753,0.0,907913,NO,NO,2018-04-27,19724500.0
689,CHMG,74.76,74.9,52468.0,Financial Services,Banks - Regional,89.0,75.0,90.0,90.0,2.1932,2.1782,41718.0,50830.0,76.68,48.61,360329760,NO,73.7,70.61,59.43,71.75,62.78,,6923,0.0,52468,NO,NO,2019-10-11,726200.0
700,QTUM,149.85,149.02,239414.0,ETF,ETF,89.0,10.0,89.0,87.0,5.354,4.4911,736498.0,480460.0,170.0,89.23,0,NO,159.0,154.34,123.77,155.36,130.45,,1973,0.0,239414,NO,NO,2025-01-08,2103300.0
711,XTL,217.41,216.27,27127.0,ETF,ETF,89.0,10.0,51.0,90.0,5.4257,5.0293,111724.0,103590.0,247.62,114.88,0,NO,220.05,226.26,182.53,224.73,198.33,,3887,0.0,27127,NO,NO,2021-03-08,1571100.0
712,BAP,392.24,389.22,202073.0,Financial Services,Banks - Regional,89.0,84.0,66.0,87.0,12.2225,11.8754,490563.0,285110.0,403.3,216.87,31162808320,NO,383.68,353.12,315.81,363.64,340.57,,7728,0.0,202073,NO,NO,2011-06-06,5387007.0
713,NXTG,149.34,149.08,12514.0,ETF,ETF,89.0,14.0,88.0,90.0,2.6504,1.9539,13380.0,10570.0,167.58,95.47,0,NO,152.59,150.99,122.02,151.89,129.41,,3871,0.0,12514,NO,NO,2019-06-06,2258300.0
714,RSPT,62.06,61.68,401937.0,ETF,ETF,89.0,47.0,90.0,88.0,1.6675,1.4461,618232.0,996250.0,67.49,40.28,0,NO,62.78,61.31,50.22,61.98,52.69,,4949,0.0,401937,NO,NO,2023-05-09,18775000.0
722,MRCY,100.32,98.26,680366.0,Industrials,Aerospace & Defense,89.0,2.0,87.0,55.0,7.0539,6.7004,675327.0,602240.0,128.45,49.86,6023542272,NO,112.71,105.02,86.52,109.17,92.35,,7156,1.0,680366,NO,NO,2023-08-18,13314400.0
725,HG,34.86,35.15,345778.0,Financial Services,Insurance - Reinsurance,89.0,88.0,78.0,89.0,0.8927,0.8809,504939.0,559590.0,35.43,20.61,3460064256,NO,33.35,31.8,28.85,32.42,30.42,,668,0.0,345778,NO,NO,2023-11-10,4339000.0
726,FRDM,68.05,66.2,198970.0,ETF,ETF,88.0,12.0,77.0,84.0,2.5772,1.8715,350739.0,298640.0,76.9,39.92,0,NO,71.3,69.8,57.46,69.84,62.06,,1779,1.87,198970,NO,NO,2026-03-03,1209100.0
727,LB,78.74,78.53,122350.0,Energy,Oil & Gas Equipment & Services,88.0,94.0,83.0,93.0,4.3921,4.2257,358167.0,421030.0,85.6,43.75,6064318976,NO,70.57,70.35,63.8,71.63,66.83,,511,0.0,122350,NO,NO,2024-06-28,3203400.0
733,WLFC,216.98,216.12,51688.0,Industrials,Rental & Leasing Services,88.0,92.0,53.0,91.0,11.1314,11.0307,135726.0,153240.0,244.62,114.01,1728596352,NO,216.79,201.86,170.0,200.88,189.18,,7501,0.0,51688,NO,NO,1996-09-18,890800.0
742,SAA,36.36,36.07,6116.0,ETF,ETF,88.0,80.0,86.0,86.0,0.8564,0.6954,6616.0,5650.0,38.39,21.09,0,NO,36.23,34.21,29.18,34.73,31.0,,4897,0.0,6116,NO,NO,2010-06-29,6045000.0
752,CIB,82.1,80.42,154231.0,Financial Services,Banks - Regional,88.0,61.0,58.0,77.0,2.1771,2.0071,375195.0,220370.0,87.68,43.2,19479474176,NO,80.27,73.45,68.66,75.36,72.99,,7792,0.93,154231,NO,NO,2007-07-17,5932400.0
753,MCRI,125.59,124.19,189744.0,Consumer Cyclical,Resorts & Casinos,88.0,22.0,91.0,89.0,3.605,3.5936,172229.0,170710.0,135.93,85.66,2229161728,NO,128.59,123.35,103.69,125.07,107.65,,8289,0.34,189744,NO,NO,1993-08-06,2800000.0
754,WLY,49.27,49.8,470165.0,Communication Services,Publishing,88.0,89.0,91.0,94.0,2.2752,2.2723,493686.0,593025.0,53.24,28.38,2500962816,NO,48.09,44.46,37.29,45.99,38.5,,13641,0.0,470165,NO,NO,1991-07-03,10067200.0
758,ALRS,31.24,31.26,153655.0,Finance,Major banks,88.0,80.0,89.0,87.0,0.7281,0.7224,209734.0,233190.0,31.86,20.26,785018880,NO,30.67,29.08,24.74,29.66,26.2,,5866,0.0,153655,NO,NO,2020-06-26,1362100.0
770,UFOX,86.57,86.24,28127.0,ETF,ETF,88.0,5.0,81.0,89.0,3.0315,2.5886,47095.0,35850.0,106.59,52.39,0,NO,90.76,93.46,73.9,93.28,78.3,,1850,0.0,28127,NO,NO,2020-09-09,1203700.0
782,BBIO,84.09,83.08,2636471.0,Healthcare,Biotechnology,88.0,96.0,64.0,61.0,3.8482,3.3661,3642019.0,5084610.0,93.42,42.09,16469971968,NO,74.53,70.18,69.48,71.96,72.23,,1770,0.0,2636471,NO,NO,2023-07-17,47288900.0
793,SPXL,275.63,272.72,1559083.0,ETF,ETF,88.0,81.0,90.0,80.0,8.7864,8.0393,2137254.0,1617570.0,289.0,168.04,0,NO,269.09,268.68,229.99,270.1,236.85,,4447,0.71,1559083,NO,NO,2009-03-11,447939600.0
795,GNOM,55.76,55.61,41174.0,ETF,ETF,88.0,92.0,89.0,79.0,1.6169,1.4471,21970.0,54100.0,59.48,34.04,0,NO,55.18,50.36,46.42,51.72,47.82,,1824,0.0,41174,NO,NO,2023-10-26,2182525.0
806,SPTE,46.71,46.35,32695.0,ETF,ETF,87.0,22.0,88.0,87.0,1.3993,1.1214,66918.0,48250.0,50.75,30.8,0,NO,47.42,46.69,38.84,46.9,40.54,,654,0.0,32695,NO,NO,2026-06-24,444700.0
810,UPRO,144.28,142.73,1831424.0,ETF,ETF,87.0,81.0,90.0,80.0,4.5921,4.2199,2905026.0,2120450.0,151.41,88.15,0,NO,140.92,140.76,120.71,141.5,124.18,,4288,0.72,1831424,NO,NO,2010-07-01,290347200.0
825,CSD,137.52,136.95,19811.0,ETF,ETF,87.0,19.0,69.0,85.0,3.515,2.6793,17140.0,18200.0,150.43,82.99,0,NO,143.07,138.78,115.05,139.76,123.64,,4922,0.0,19811,NO,NO,2014-04-15,882400.0
832,GL,178.99,178.62,243844.0,Financial Services,Insurance - Life,87.0,88.0,87.0,85.0,3.5121,3.4071,599460.0,587710.0,182.32,117.74,13897635840,NO,176.12,163.65,145.84,167.92,151.57,,11537,0.0,243844,NO,NO,2024-04-11,36577500.0
833,WGMI,52.23,52.27,442336.0,ETF,ETF,87.0,2.0,83.0,77.0,5.1058,4.604,650418.0,707950.0,76.94,23.01,0,NO,61.98,61.76,49.5,61.35,49.21,,1110,0.0,442336,NO,NO,2025-03-04,2252000.0
849,CLS,345.03,345.18,787782.0,Technology,Electronic Components,87.0,5.0,13.0,73.0,23.2586,22.2671,2148496.0,1565880.0,474.03,153.11,39669170176,NO,359.72,375.28,321.96,362.73,330.03,,7052,0.0,787782,NO,NO,2025-01-27,17004700.0
851,DAC,129.59,129.35,57322.0,Industrials,Marine Shipping,87.0,36.0,75.0,88.0,2.7879,2.7479,88013.0,84100.0,135.21,83.56,2359000320,NO,126.2,128.3,108.26,127.6,115.52,,4965,0.0,57322,NO,NO,2019-11-22,2851600.0
854,TFIN,78.24,78.31,198850.0,Financial Services,Banks - Regional,87.0,80.0,90.0,71.0,2.6235,2.4767,271000.0,278930.0,80.47,46.43,1862601088,NO,75.98,71.36,62.6,72.91,66.39,,2935,0.0,198850,NO,NO,2018-08-03,4469000.0
871,DARP,57.65,56.762,1160.0,ETF,ETF,86.0,65.0,81.0,84.0,1.3006,0.848,10711.0,4340.0,61.76,35.04,0,NO,57.91,57.81,49.66,57.64,52.36,,1145,1.18,1160,NO,NO,2023-10-05,484100.0
872,DY,418.87,410.11,219737.0,Industrials,Engineering & Construction,86.0,5.0,56.0,84.0,21.4396,20.1689,557916.0,461980.0,566.47,233.0,12579275776,NO,456.62,454.72,376.0,452.11,404.4,,10609,1.97,219737,NO,NO,2005-05-24,7972600.0
880,EXEL,55.77,56.04,1478815.0,Healthcare,Biotechnology,86.0,79.0,89.0,86.0,1.595,1.5221,2747565.0,2623110.0,57.57,33.76,14018073600,NO,54.28,51.65,44.76,53.14,46.86,,6598,0.0,1478815,NO,NO,2015-07-20,74607500.0
882,OPTZ,46.87,46.543,1528.0,ETF,ETF,86.0,51.0,84.0,85.0,1.0599,0.4836,5903.0,10590.0,49.76,30.86,0,NO,47.77,45.93,39.17,46.37,41.04,,557,0.0,1528,NO,NO,2024-05-07,911800.0
884,CRL,231.21,229.75,645038.0,Healthcare,Diagnostics & Research,86.0,96.0,91.0,47.0,9.5439,9.1968,878886.0,869970.0,237.86,144.26,11136861184,NO,213.18,188.82,183.15,195.68,187.36,,6551,0.0,645038,NO,NO,2025-04-11,11604900.0
894,BMA,92.16,90.68,149252.0,Financial Services,Banks - Regional,86.0,10.0,79.0,20.0,4.4379,4.28,301272.0,205350.0,106.15,38.3,5892621312,NO,93.45,85.41,80.57,89.17,84.58,,5106,0.77,149252,NO,NO,2019-05-28,7173700.0
897,LMND,70.14,70.62,683225.0,Financial Services,Insurance - Property & Casualty,86.0,96.0,86.0,11.0,4.3549,4.0878,1597175.0,1610640.0,99.9,35.7,5388210176,NO,65.1,59.21,65.04,60.47,64.7,,1514,0.0,683225,NO,NO,2020-07-02,18371900.0
898,NSA,44.74,45.06,1365014.0,Real Estate,REIT - Industrial,86.0,22.0,65.0,91.0,0.9835,0.9228,862775.0,836030.0,46.47,27.43,6568757760,NO,44.92,43.77,35.76,44.1,38.53,,2823,0.0,1365014,NO,NO,2026-03-16,18846900.0
899,LGIH,58.84,57.76,171376.0,Consumer Cyclical,Residential Construction,86.0,84.0,95.0,66.0,2.9714,2.8979,417745.0,279070.0,69.5,33.55,1366987392,NO,58.87,52.06,48.39,54.15,49.4,,3187,0.0,171376,NO,NO,2017-02-06,3565100.0
916,RRBI,96.2,97.35,55043.0,Financial Services,Banks - Regional,86.0,81.0,45.0,89.0,2.3068,2.2625,84870.0,93010.0,98.85,58.12,633447744,NO,92.82,91.47,81.69,92.19,88.0,,1808,0.0,55043,NO,NO,2019-12-20,519900.0
