Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
300,SBIT,57.06,56.93,428322,ETF,ETF,95.0,65.0,91.0,95.0,3.7194,2.7308,908057.0,617560.0,76.52,23.6,,0,NO,61.57,54.29,46.99,56.64,52.03,575,0.0,428322,NO,NO,2026-02-05,7663200,141.78,-25.43
266,AIS,66.34,67.25,876840,ETF,ETF,95.0,5.0,92.0,95.0,4.7151,3.365,647290.0,688960.0,88.8,27.77,,0,NO,77.42,74.92,50.43,74.6,55.69,405,0.0,876840,NO,NO,2026-07-02,1490800,138.89,-25.29
418,TECL,177.65,183.36,1122264,ETF,ETF,93.0,3.0,95.0,94.0,18.6,15.3464,1189149.0,837690.0,275.4,75.16,,0,NO,206.37,210.55,142.14,208.65,147.25,4413,0.0,1122264,NO,NO,2010-05-04,332400000,136.36,-35.49
450,CRDO,202.68,207.97,8262896,Technology,Semiconductors,93.0,5.0,92.0,88.0,25.3661,23.1589,8318345.0,6549280.0,308.67,86.48,,37795340288,NO,252.23,228.95,162.84,229.65,166.31,1121,0.0,8262896,NO,NO,2026-06-26,38637200,134.37,-34.34
151,HPE,45.82,45.13,11061853,Technology,Communication Equipment,96.0,17.0,97.0,97.0,2.7918,2.5558,26264427.0,19890290.0,64.25,19.64,,60675006464,NO,46.13,42.95,28.36,43.78,30.47,2701,0.0,11061853,YES,NO,2026-06-02,153197800,133.3,-28.68
619,TSMX,71.73,76.14,1153466,ETF,ETF,90.0,4.0,77.0,87.0,8.1649,6.9566,1069798.0,1130670.0,106.32,30.79,,0,NO,88.09,85.48,64.6,83.93,70.34,447,0.0,1153466,NO,NO,2025-01-27,3911500,132.97,-32.53
347,SEDG,53.47,52.34,1842431,Producer manufacturing,Electrical products,94.0,14.0,94.0,94.0,4.9832,4.6379,3562122.0,2142360.0,81.25,23.01,,3251949312,NO,54.19,57.16,42.3,59.49,45.57,2844,0.0,1842431,NO,NO,2025-06-17,33137600,132.38,-34.19
343,EWY,162.54,163.36,38294694,ETF,ETF,94.0,2.0,77.0,93.0,10.7086,7.575,20257303.0,25325420.0,220.89,70.36,,0,NO,187.98,190.76,133.18,188.2,150.4,6583,0.0,38294694,YES,NO,2026-03-03,65699600,131.01,-26.42
495,MTSI,267.36,275.49,1749394,Technology,Semiconductors,92.0,1.0,49.0,86.0,22.9059,18.5395,1646791.0,1673200.0,418.9,118.16,,20398438400,NO,335.68,356.5,240.67,351.02,274.69,3605,0.0,1749394,NO,NO,2018-02-07,14046200,126.27,-36.18
704,OUST,37.04,35.14,4428423,Technology,Electronic Components,89.0,6.0,96.0,90.0,6.4021,5.9514,5009678.0,5057840.0,63.79,16.4,,2492600320,NO,45.53,40.68,28.31,41.62,28.7,1448,0.0,4428423,NO,NO,2025-06-11,17407500,125.85,-41.93
313,CEVA,37.97,38.52,713981,Technology,Semiconductors,94.0,4.0,97.0,96.0,3.9362,3.3555,912857.0,699890.0,51.6,17.02,,1057820224,NO,44.0,42.45,27.93,42.15,29.24,5963,0.0,713981,NO,NO,2025-11-19,4236800,123.09,-26.41
367,FLKR,53.09,53.37,2178517,ETF,ETF,94.0,3.0,80.0,93.0,3.3495,2.3402,771386.0,784400.0,72.49,23.88,,0,NO,61.55,61.94,43.54,61.11,48.87,2155,0.0,2178517,NO,NO,2024-07-25,4655000,122.32,-26.76
957,AEIS,284.05,285.89,678067,Industrials,Electrical Equipment & Parts,86.0,3.0,3.0,81.0,21.5936,17.9686,949513.0,639330.0,397.44,128.4,,11365026816,NO,329.12,329.1,281.04,322.37,311.69,7714,0.0,678067,NO,NO,2000-10-13,10704900,121.22,-28.53
455,CBRL,53.61,51.05,772465,Consumer Cyclical,Restaurants,92.0,96.0,98.0,95.0,2.5614,2.5214,1254781.0,941330.0,71.93,24.85,,1198261760,NO,50.79,41.09,33.57,43.49,34.51,11263,0.0,772465,NO,NO,2026-06-10,11347700,115.73,-25.47
408,USD,82.26,85.5,1004358,ETF,ETF,93.0,4.0,88.0,94.0,8.3996,6.8111,1037442.0,835410.0,116.5,38.66,,0,NO,94.59,96.71,66.28,94.76,71.37,4895,0.0,1004358,NO,NO,2008-12-09,144076800,112.78,-29.39
459,ACLS,136.42,139.34,689861,Technology,Semiconductor Equipment & Materials,92.0,2.0,84.0,93.0,13.0521,11.1507,681868.0,548340.0,193.78,65.64,,4192718080,NO,157.33,159.47,108.86,157.48,119.0,6543,0.0,689861,NO,NO,2017-10-18,5688300,107.83,-29.6
621,ALGM,46.48,47.12,1570492,Technology,Semiconductors,90.0,6.0,89.0,93.0,5.8586,4.9229,2981800.0,3103410.0,71.77,22.41,,8659644416,NO,56.14,51.33,37.16,50.74,41.01,1434,0.0,1570492,NO,NO,2024-09-20,19368900,107.41,-35.24
585,SANM,197.24,198.05,661496,Electronic technology,Electronic production equipment,91.0,2.0,86.0,80.0,13.2386,12.03,1154444.0,708800.0,288.68,95.49,,10571617280,NO,225.36,239.45,173.22,235.26,184.49,8372,0.0,661496,NO,NO,2009-06-26,15827533,106.56,-31.68
1290,CVLT,147.81,149.77,497824,Technology,Software - Application,81.0,95.0,96.0,81.0,6.2999,6.0885,801598.0,676230.0,200.68,71.75,,6122539520,NO,143.13,125.27,117.15,129.48,107.87,4984,0.0,497824,NO,NO,2006-09-22,8587700,106.01,-26.35
659,MTZ,329.59,340.81,1687230,Industrials,Engineering & Construction,90.0,8.0,12.0,93.0,23.1671,20.2425,1130572.0,998980.0,441.43,160.08,,26043727872,NO,380.6,383.54,291.29,375.41,324.29,13464,0.0,1687230,NO,NO,2018-11-09,13817900,105.89,-25.34
746,DIOD,87.02,89.28,854061,Technology,Semiconductors,89.0,2.0,12.0,94.0,6.6493,5.8293,686216.0,455030.0,125.99,42.28,,3998110720,NO,101.76,104.24,72.83,101.81,81.51,13464,0.0,854061,NO,NO,2008-12-22,4679400,105.82,-30.93
827,ENTG,138.74,134.6,4454557,Technology,Semiconductor Equipment & Materials,87.0,10.0,49.0,90.0,12.7046,10.9918,3359286.0,3061820.0,186.94,67.97,,21130102784,NO,155.11,146.39,117.58,145.4,129.93,6543,0.0,4454557,NO,NO,2025-03-05,22198800,104.12,-25.78
226,DRAM,52.72,52.34,135433208,ETF,ETF,95.0,2.0,96.0,,5.3704,3.6089,46406498.0,78341150.0,81.34,26.14,,0,NO,65.67,61.56,,61.29,,73,0.0,135433208,YES,YES,2026-07-17,135433208,101.68,-35.19
2151,CLS,301.34,303.86,2115416,Technology,Electronic Components,70.0,2.0,4.0,21.0,23.955,23.1714,2136063.0,1668600.0,474.03,153.11,,34645995520,NO,348.42,368.93,322.99,358.36,328.57,7055,0.0,2115416,NO,NO,2025-01-27,17004700,96.81,-36.43
626,ON,87.37,88.12,9585175,Technology,Semiconductors,90.0,1.0,75.0,93.0,6.0486,4.8836,13159621.0,10710840.0,134.92,44.56,,34003146752,NO,99.49,109.52,73.14,107.08,81.71,6591,0.0,9585175,YES,NO,2022-06-17,93180900,96.07,-35.24
1558,NXT,103.1,106.85,6815916,Technology,Solar,78.0,4.0,18.0,64.0,8.0739,7.4446,2847688.0,2593580.0,163.13,52.61,,15832251392,NO,112.62,123.96,107.98,124.49,115.53,861,0.0,6815916,NO,NO,2026-06-26,27197700,95.97,-36.8
1727,SQM,69.81,66.33,1625141,Process industries,Chemicals: specialty,75.0,4.0,2.0,9.0,2.9136,2.6921,1134749.0,894120.0,98.0,35.67,,19940376576,NO,73.36,79.3,71.36,77.68,78.29,8261,0.0,1625141,NO,NO,1996-04-26,30256447,95.71,-28.77
671,SNEX,102.99,110.88,1305061,Finance,Investment banks/Brokers,90.0,2.0,27.0,94.0,7.0943,6.6657,816378.0,743250.0,141.99,53.53,,8162111488,NO,123.05,119.74,85.49,119.76,95.28,7894,0.0,1305061,NO,NO,2006-12-21,8230275,92.4,-27.47
