Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
59,Auto & Truck Dealerships,Consumer Cyclical,56,53,50,60,"CVNA,PAG,KMX,LAD,AN,GPI,VVV,ABG,RUSHB,RUSHA,CARG,KAR,DRVN,SAH,ACVA,MCW,CWH,KFS,CRMT,VRM"
60,Auto Manufacturers,Consumer Cyclical,56,60,55,46,"TSLA,TM,RACE,GM,F,HMC,STLA,LI,XPEV,RIVN,NIO,ZK,CYD,EMPD,AYRO"
61,Internet Content & Information,Communication Services,55,54,52,52,"GOOGL,GOOG,META,SPOT,RDDT,TME,BIDU,PINS,ZG,Z,NBIS,SNAP,BILI,BZ,MTCH,DJT,ATHM,GENI,DJTWW,IAC,WB,JOYY,RUM,YELP,WBTN,UPWK,OPRA,MOMO,GRPN,BMBL,FVRR,EVER,CARS,ANGI,NRDS,SSTK,JFIN,MAX,THRY,UPXI,ZIP,PERI,AREN,DOYU,CMCM,SEAT,TZOO,BODI,SCOR,LCFYW"
62,Drug Manufacturers - Specialty & Generic,Healthcare,55,44,49,46,"ZTS,TAK,HLN,TEVA,UTHR,NBIX,VTRS,RDY,ELAN,RGC,ALKS,LNTH,PRGO,PBH,INDV,AMRX,BHC,HCM,ALVO,SUPN,KNSA,ANIP,BCRX,BGM,AVDL,HROW,AMPH,PAHC,COLL,DVAX,PCRX,SIGA,EOLS,EBS,ETON,KMDA,ZYBT,LFCR,DERM,ANIK,FLGC,EVOK,SNOA"
63,Grocery Stores,Consumer Defensive,54,51,71,61,"KR,SFM,ACI,GO,WMK,IMKTA,NGVC,VLGEA"
64,Utilities - Regulated Electric,Utilities,53,57,69,69,"VIASP,NEE,SO,DUK,NGG,AEP,D,EXC,XEL,PEG,ETR,ED,WEC,PCG,DTE,AEE,PPL,FTS,FE,CNP,ES,CMS,EIX,KEP,LNT,EVRG,EMA,PNW,OKLO,OGE,IDA,ELPC,ELP,TXNM,POR,NWE,MGEE,HE,CEPU,EDN,GNE"
65,Gambling,Consumer Cyclical,53,67,47,61,"FLUT,DKNG,LNW,CHDN,SGHC,RSI,SBET,BRSL,ACEL,CDRO,GAMB,INSE"
66,Agricultural Inputs,Basic Materials,53,65,66,34,"CTVA,NTR,CF,MOS,ICL,FMC,SMG,UAN,IPI,AVD"
67,Telecom Services,Communication Services,53,49,53,52,"TMUS,T,VZ,AMX,CHT,TU,LBRDP,CMCSA,CHTR,TEF,VOD,BCE,VIV,TLK,RCI,TIMB,KT,FYBR,LBRDK,LBRDA,SKM,SATS,TIGO,TKC,PHI,AD,TDS,VEON,LBTYK,LBTYA,LBTYB,TEO,GSAT,KYIV,IRDM,CCOI,LILA,LILAK,IDT,GOGO,GLIBK,GLIBA,CABO,SHEN,SIFY,WOW,ATEX,ATNI,RDCM,CXDO,KVHI,IQST"
68,Utilities - Regulated Gas,Utilities,52,41,57,71,"ATO,NI,UGI,SWX,BIPC,NJR,OGS,SR,BKH,CPK,CTRI,NWN,SPH,RGCO"
69,Semiconductor Equipment & Materials,Technology,52,42,20,20,"ASML,AMAT,LRCX,KLAC,TER,ENTG,NVMI,AMKR,ONTO,CAMT,IPGP,AMBA,ACLS,FORM,KLIC,ACMR,DQ,VECO,PLAB,UCTT,COHU,ICHR,AEHR,INTT,ASYS,TRT"
70,Oil & Gas Integrated,Energy,52,48,37,36,"XOM,CVX,SHEL,TTE,BP,PBR,EQNR,E,SU,IMO,CVE,EC,YPF,NFG,TGS,CRGY,DEC"
71,Confectioners,Consumer Defensive,52,72,52,40,"MDLZ,HSY,TR"
72,Conglomerates,Industrials,51,55,44,38,"HON,MMM,VMI,OTTR,SEB,MDU,BBU,DLX,MATW,CRESY,FIP,CODI,TRC,AIRTP,BOC,FBYD,RCMT,BOOM,AIRT"
73,Oil & Gas Equipment & Services,Energy,51,45,35,45,"SLB,BKR,TS,HAL,FTI,NOV,AROC,WFRD,LB,VAL,KGS,TDW,USAC,WHD,NEXT,OII,AESI,SEI,LBRT,FLOC,XPRO,MRC,EFXT,INVX,VTOL,WTTR,HLX,NPKI,NESR,CLB,NOA,FTK,NGS,OIS,RNGR,FET,OMSE,GEOS,NCSM,LSE"
