Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1233,EMOP,51.72,86859,ETF,ETF,82.0,27.0,75.0,84.0,1.2128,0.8246,239488.0,75520.0,54.35,35.68,0,NO,51.04,44.52,51.41,46.77,258,0.0,86859,NO,NO,2026-03-30,7596700.0
1237,NBN,133.06,103226,Financial Services,Banks - Regional,82.0,82.0,76.0,81.0,5.5093,5.4307,133188.0,170350.0,142.31,80.75,1138376192,NO,124.19,109.53,125.57,117.02,9788,0.0,104240,NO,NO,2021-06-25,1137100.0
1239,DBEM,40.31,3509,ETF,ETF,82.0,30.0,74.0,84.0,0.9564,0.7086,9006.0,13780.0,42.63,26.96,0,NO,39.66,34.7,40.02,36.27,3785,0.0,3509,NO,NO,2016-12-12,5253800.0
1256,NXT,110.66,3060301,Technology,Solar,82.0,3.0,8.0,79.0,8.0249,7.6471,2644170.0,4791200.0,163.13,51.69,16840603648,NO,125.79,105.43,127.4,114.16,848,2.3,3060301,NO,NO,2026-06-26,27195700.0
1258,VOYA,90.86,530233,Financial Services,Financial Conglomerates,82.0,90.0,87.0,78.0,2.2239,2.2096,1308667.0,1489400.0,93.05,64.5,8237941248,NO,83.79,75.53,85.96,77.22,3309,0.0,530233,NO,NO,2013-05-02,32928800.0
1261,AVBH,32.69,220528,Financial Services,Banks - Regional,82.0,79.0,66.0,78.0,0.7982,0.7882,104791.0,225000.0,33.52,20.24,358124384,NO,30.68,28.0,31.08,29.22,5527,0.0,221121,NO,NO,2026-06-26,1146900.0
1280,GS,1020.21,1849257,Financial Services,Capital Markets,81.0,60.0,82.0,64.0,34.7586,30.98,2154927.0,2506640.0,1125.0,691.3,300969525248,NO,993.29,886.09,1006.88,929.54,6830,0.0,1849257,NO,NO,2008-09-18,114590700.0
1288,EME,814.41,377812,Industrials,Engineering & Construction,81.0,19.0,51.0,85.0,34.7921,29.6079,388156.0,538650.0,951.96,516.91,36267765760,NO,859.61,731.68,850.36,765.83,7919,0.22,377812,NO,NO,2003-10-03,19518800.0
1289,ASTE,60.85,165976,Industrials,Farm & Heavy Construction Machinery,81.0,94.0,65.0,87.0,2.4196,2.2461,215419.0,238900.0,65.69,37.82,1399101440,NO,54.36,51.09,54.31,53.49,10084,0.0,173471,NO,NO,2006-02-28,2686500.0
1306,SMBK,47.14,65694,Financial Services,Banks - Regional,81.0,90.0,77.0,82.0,1.3721,1.3214,84241.0,158880.0,47.97,32.64,806021952,NO,42.66,39.15,43.55,40.93,5717,0.0,65694,NO,NO,2017-06-23,777200.0
1324,FLAX,36.71,4300,ETF,ETF,81.0,26.0,77.0,82.0,0.9201,0.5702,9559.0,6160.0,39.2,25.88,0,NO,36.21,31.97,36.49,33.15,2107,0.0,4300,NO,NO,2023-11-20,352300.0
1335,CENT,44.6,90557,Consumer Defensive,Packaged Foods,81.0,91.0,73.0,88.0,1.26,1.1871,69225.0,103980.0,45.78,28.77,2790656768,NO,39.6,35.48,40.5,37.26,8548,0.0,90557,NO,NO,1998-12-18,14465728.0
1337,SILA,30.36,750694,Real Estate,REIT - Healthcare Facilities,81.0,53.0,84.0,86.0,0.0432,0.0364,909340.0,1252450.0,30.63,21.94,1677119744,NO,30.27,25.69,30.35,26.46,511,0.0,750694,NO,NO,2026-04-20,9912700.0
1341,SFST,61.0,120990,Financial Services,Banks - Regional,81.0,78.0,59.0,71.0,1.7664,1.7486,153288.0,216080.0,62.38,38.03,576765056,NO,57.66,52.89,58.31,56.17,6706,0.0,120990,NO,NO,2026-04-16,579000.0
1348,RZV,149.06,3757,ETF,ETF,80.0,80.0,75.0,81.0,2.505,2.204,5338.0,2880.0,149.43,103.54,0,NO,138.92,126.98,141.04,132.03,5110,0.0,3757,NO,NO,2017-11-02,828300.0
1349,PLBC,58.14,75021,Financial Services,Banks - Regional,80.0,87.0,74.0,85.0,1.8025,1.7268,61366.0,91660.0,59.99,39.7,405127424,NO,53.31,47.96,54.29,50.71,5923,0.0,75499,NO,NO,2023-06-23,654700.0
1362,BKEM,93.71,2775,ETF,ETF,80.0,25.0,75.0,83.0,2.615,1.8137,2062.0,2820.0,100.54,66.04,0,NO,92.6,81.38,93.25,84.93,1552,0.0,2775,NO,NO,2025-07-21,1255400.0
1363,LARK,31.75,21232,Financial Services,Banks - Regional,80.0,88.0,85.0,67.0,0.81,0.7943,11662.0,32370.0,32.39,22.56,193597280,NO,28.27,26.76,28.89,27.4,8117,0.0,21232,NO,NO,1994-03-28,1448170.0
1374,LTM,58.7,261000,Industrials,Airlines,80.0,87.0,76.0,56.0,2.2723,2.024,948654.0,982310.0,70.42,40.27,17184069632,NO,51.25,51.32,52.38,54.14,483,0.0,261000,NO,NO,2025-09-25,9220700.0
1385,AVSE,80.39,5782,ETF,ETF,80.0,33.0,77.0,82.0,2.0829,1.3457,11685.0,10160.0,84.92,58.3,0,NO,78.5,69.83,79.3,72.44,1065,0.0,5782,NO,NO,2025-06-13,186900.0
1390,WELL,227.73,2574974,Real Estate,REIT - Healthcare Facilities,80.0,84.0,64.0,79.0,5.6718,5.4846,3374596.0,4236540.0,228.53,148.97,160757891072,NO,212.29,196.35,214.96,203.39,11663,0.0,2574974,NO,NO,2011-03-02,24268600.0
1391,GSBC,78.28,63648,Financial Services,Banks - Regional,80.0,86.0,81.0,82.0,2.08,1.975,97891.0,106090.0,79.29,53.76,852719936,NO,71.22,64.14,72.92,66.6,9199,0.0,66297,NO,NO,2009-06-26,1904100.0
1394,MIDD,173.02,669501,Industrials,Specialty Industrial Machinery,80.0,89.0,86.0,70.0,5.7493,5.3557,651391.0,936520.0,176.44,110.82,7823012352,NO,152.84,143.52,158.23,151.78,9795,0.0,669501,NO,NO,1997-10-30,8797200.0
1405,UTHR,544.92,412281,Healthcare,Drug Manufacturers - Specialty & Generic,80.0,22.0,36.0,49.0,12.835,12.735,546938.0,715370.0,609.35,272.12,23130073088,NO,561.46,501.95,554.92,524.69,6799,0.0,412281,NO,NO,2007-11-01,29067800.0
1413,NDSN,302.16,308025,Industrials,Specialty Industrial Machinery,80.0,76.0,64.0,82.0,7.8468,6.7961,395280.0,518060.0,307.74,207.08,16835735552,NO,285.86,261.37,288.93,275.57,11664,0.0,309460,NO,NO,2022-02-14,12875500.0
