Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
745,LGIH,63.68,309505,Consumer Cyclical,Residential Construction,89.0,97.0,93.0,91.0,3.4771,3.3507,441869.0,517520.0,69.5,33.55,1479431552,NO,49.8,48.29,52.01,48.62,,3178,0.39,309505,NO,NO,2017-02-06,3565100
748,WWD,425.44,650612,Industrials,Aerospace & Defense,89.0,94.0,77.0,88.0,16.0279,14.8314,825753.0,1195470.0,450.92,233.31,25348931584,NO,377.43,331.16,381.52,361.51,,8114,0.0,650612,NO,NO,2018-02-08,6412900
783,SENEA,173.94,93657,Consumer Defensive,Packaged Foods,88.0,94.0,58.0,92.0,10.0823,9.7887,146935.0,178440.0,181.43,98.61,1178798720,NO,146.77,128.91,152.01,137.4,,7062,0.0,93657,NO,NO,2009-07-16,1543800
785,RVI,32.78,318558,Financial Services,Asset Management,88.0,0.0,79.0,,4.4493,4.2014,761783.0,631500.0,77.39,21.0,893163712,NO,41.01,,41.14,,,80,0.0,318558,NO,NO,2026-03-06,4787800
790,DTCR,30.37,1588662,ETF,ETF,88.0,18.0,83.0,90.0,0.9061,0.7704,1306540.0,2090730.0,32.79,18.13,0,NO,30.37,24.75,30.58,26.42,,1422,0.0,1588662,NO,NO,2026-06-18,5711900
801,BDL,44.84,11700,Consumer Cyclical,Restaurants,88.0,96.0,89.0,91.0,2.4843,1.98,5567.0,25740.0,47.99,26.33,83341728,NO,34.66,32.3,36.21,33.18,,13452,0.0,11700,NO,NO,2021-05-25,1544400
808,GRDN,41.87,540733,Healthcare,Medical Care Facilities,88.0,82.0,53.0,88.0,2.073,2.0116,443590.0,537700.0,44.0,19.3,2651234816,NO,38.77,32.76,39.75,35.28,,440,0.74,540733,NO,NO,2024-09-26,2846700
850,PHIN,82.37,251162,Consumer Cyclical,Auto Parts,87.0,79.0,77.0,87.0,2.9129,2.6429,382258.0,620770.0,86.94,44.26,3049383680,NO,77.94,66.49,79.46,72.14,,754,0.7,251162,NO,NO,2023-07-05,12492100
855,STT,169.6,1693823,Financial Services,Asset Management,87.0,84.0,86.0,84.0,4.5484,4.2634,2220972.0,3171700.0,175.46,101.98,46939693056,NO,158.29,132.51,159.93,140.08,,11666,0.0,1693823,NO,NO,2009-01-20,76692600
877,IX,38.04,253161,Financial Services,Financial Conglomerates,87.0,22.0,82.0,84.0,0.76,0.5489,340440.0,305970.0,40.63,22.1,41725689856,NO,36.67,30.92,37.43,33.21,,6989,0.0,253161,NO,NO,2009-07-31,2705000
882,PBF,45.52,2536107,Energy,Oil & Gas Refining & Marketing,87.0,88.0,7.0,94.0,2.5006,2.3334,3029030.0,3101870.0,52.18,21.24,5385400832,NO,41.44,36.57,41.72,38.3,,3405,0.0,2536107,NO,NO,2022-11-30,33081200
906,PDEX,58.55,28487,Healthcare,Medical Instruments & Supplies,86.0,9.0,76.0,91.0,4.2043,4.2043,44796.0,91290.0,68.99,23.47,186936032,NO,59.75,44.39,60.7,49.64,,10050,0.0,28487,NO,NO,2014-09-19,5321400
907,CHMG,74.58,15433,Financial Services,Banks - Regional,86.0,83.0,85.0,87.0,2.17,2.1279,34245.0,50700.0,75.75,48.37,359462176,NO,69.21,58.45,70.19,61.64,,6914,0.0,15433,NO,NO,2019-10-11,726200
912,PARR,56.08,735065,Energy,Oil & Gas Refining & Marketing,86.0,42.0,5.0,93.0,2.5243,2.2964,1200064.0,998250.0,70.39,26.62,2812091136,NO,58.78,47.14,57.61,50.76,,3473,0.0,735065,NO,NO,2023-12-15,8762400
915,LQDT,39.12,209160,Consumer Cyclical,Internet Retail,86.0,82.0,83.0,82.0,1.0464,1.0464,177627.0,263620.0,39.93,21.67,1219809792,NO,36.13,30.85,36.7,33.17,,5117,0.0,287080,NO,NO,2014-04-02,8518000
919,UXI,63.62,1879,ETF,ETF,86.0,90.0,86.0,87.0,2.4132,1.4996,5109.0,9180.0,64.95,41.49,0,NO,56.97,51.48,57.66,54.29,,4882,2.1,1879,NO,NO,2009-03-11,5551200
936,NBCE,45.46,116,ETF,ETF,86.0,77.0,84.0,87.0,0.7931,0.1101,604.0,460.0,45.93,27.15,0,NO,41.0,35.9,41.79,37.47,,677,0.02,400,NO,NO,2026-01-27,118700
1017,IDGT,119.74,41638,ETF,ETF,85.0,12.0,80.0,89.0,2.6464,2.3557,68033.0,87800.0,133.05,81.06,0,NO,121.79,98.74,122.43,104.12,,6246,0.0,41638,NO,NO,2016-07-08,2852100
1026,PKBK,33.16,32534,Financial Services,Banks - Regional,85.0,82.0,64.0,87.0,0.64,0.64,93770.0,89270.0,33.26,19.71,392700512,NO,31.08,26.5,31.46,28.7,,5792,0.0,32534,NO,NO,2021-06-25,1445800
1034,ANDE,68.4,258920,Consumer Defensive,Food Distribution,85.0,20.0,10.0,84.0,2.3754,2.2504,327232.0,386870.0,82.11,31.84,2329297408,NO,72.54,60.34,71.88,66.81,,7639,0.0,258920,NO,NO,2006-05-04,5467500
1048,UVSP,43.75,362361,Financial Services,Banks - Regional,85.0,87.0,81.0,85.0,1.2564,1.24,216474.0,317440.0,44.78,27.91,1218253824,NO,39.8,34.47,40.65,36.44,,7095,0.0,362361,NO,NO,2017-11-30,1435900
1059,CW,757.76,264116,Industrials,Aerospace & Defense,84.0,60.0,70.0,87.0,25.5421,25.0,287374.0,391810.0,800.0,463.0,27992537088,NO,736.14,642.2,740.2,683.44,,11666,0.64,264116,NO,NO,2016-01-29,6845700
