IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
5,KDP,31.51,Consumer Defensive,Beverages - Non-Alcoholic,64.0,45.0,54.0,73.0,0.68,0.6564,1.26,NO,NO
1,DEO,87.37,Consumer Defensive,Beverages - Wineries & Distilleries,44.0,12.0,74.0,71.0,1.6,1.3129,0.0,NO,NO
1,TTRX,15.29,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,1.4267,1.4253,0.0,NO,NO
2,MRNA,182.56,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,11.3464,10.6671,0.0,NO,NO
3,TWST,164.6,Healthcare,Biotechnology,98.0,94.0,98.0,98.0,10.1021,9.5229,0.0,NO,NO
4,OMER,21.05,Healthcare,Biotechnology,98.0,92.0,98.0,96.0,0.9614,0.8828,5.9,NO,NO
5,KRSA,34.98,Healthcare,Biotechnology,98.0,97.0,96.0,98.0,4.8237,4.2655,3.49,NO,NO
1,BBGI,16.91,Communication Services,Broadcasting,98.0,2.0,2.0,98.0,1.185,1.1757,0.0,NO,NO
2,NXST,167.53,Communication Services,Broadcasting,6.0,8.0,46.0,2.0,7.155,7.0414,0.0,NO,NO
1,JHX,27.34,Basic Materials,Building Materials,88.0,7.0,84.0,90.0,1.1275,1.0732,0.0,NO,NO
2,USLM,113.78,Basic Materials,Building Materials,23.0,25.0,77.0,12.0,3.0221,2.9579,0.0,NO,NO
3,VMC,247.87,Basic Materials,Building Materials,6.0,7.0,5.0,11.0,6.2304,5.8596,0.0,NO,NO
4,EXP,183.16,Basic Materials,Building Materials,5.0,5.0,5.0,30.0,4.7082,4.5154,1.58,NO,NO
5,MLM,499.34,Basic Materials,Building Materials,4.0,14.0,5.0,6.0,12.9096,12.7239,0.0,NO,NO
1,NX,20.66,Industrials,Building Products & Equipment,88.0,78.0,91.0,75.0,1.2779,1.0964,0.0,NO,NO
2,GFF,97.46,Industrials,Building Products & Equipment,83.0,33.0,78.0,89.0,2.4643,2.1825,2.09,NO,NO
3,JCI,146.44,Industrials,Building Products & Equipment,76.0,80.0,62.0,51.0,3.5304,2.9711,0.0,NO,NO
4,PPIH,30.33,Industrials,Building Products & Equipment,63.0,92.0,83.0,41.0,1.1614,1.0928,0.0,NO,NO
5,TREX,44.13,Industrials,Building Products & Equipment,45.0,17.0,27.0,74.0,1.4118,1.3239,1.91,NO,NO
1,CXT,48.44,Industrials,Business Equipment & Supplies,42.0,30.0,74.0,60.0,1.8125,1.6546,4.22,NO,NO
1,TOP,15.4,Financial Services,Capital Markets,98.0,92.0,98.0,98.0,0.8784,0.8777,0.0,NO,NO
2,HUT,106.61,Financial Services,Capital Markets,97.0,97.0,9.0,97.0,8.2311,7.4663,0.0,NO,NO
3,MRX,72.65,Financial Services,Capital Markets,95.0,60.0,80.0,96.0,3.5066,3.4602,0.0,NO,NO
4,RIOT,24.93,Financial Services,Capital Markets,91.0,97.0,8.0,95.0,1.5066,1.3968,0.0,NO,NO
5,IOND,86.41,Financial Services,Capital Markets,91.0,97.0,,,4.9729,4.9729,0.0,YES,NO
1,MEOH,57.81,Basic Materials,Chemicals,87.0,28.0,84.0,46.0,2.0988,2.0102,0.0,NO,NO
2,GPRE,15.07,Basic Materials,Chemicals,85.0,13.0,66.0,21.0,0.6057,0.5993,0.0,NO,NO
3,VHI,16.79,Basic Materials,Chemicals,84.0,65.0,91.0,74.0,0.81,0.8079,0.0,NO,NO
4,REX,44.25,Basic Materials,Chemicals,80.0,55.0,55.0,58.0,1.5411,1.5318,0.0,NO,NO
5,DOW,28.2,Basic Materials,Chemicals,37.0,4.0,14.0,3.0,1.0321,0.9929,0.0,NO,NO
1,HCC,92.1,Basic Materials,Coking Coal,76.0,3.0,75.0,44.0,4.4791,4.2302,0.31,NO,NO
2,AMR,188.57,Basic Materials,Coking Coal,47.0,7.0,84.0,11.0,11.7446,10.7461,0.47,NO,NO
1,LITE,945.67,Technology,Communication Equipment,98.0,92.0,85.0,85.0,62.7997,56.7214,0.0,NO,NO
2,HPE,61.03,Technology,Communication Equipment,97.0,95.0,91.0,98.0,4.2179,3.6525,0.0,NO,NO
3,SILC,49.58,Technology,Communication Equipment,97.0,94.0,89.0,98.0,2.9429,2.7721,0.0,NO,NO
