Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
326,IESC,722.97,296833,Industrials,Engineering & Construction,94.0,71.0,92.0,95.0,53.155,49.2957,235485.0,354590.0,804.0,281.35,14404372480,NO,673.55,491.63,696.34,542.05,,7148,0.01,296833,NO,NO,2007-09-06,1946500.0
328,MTZ,429.09,1503973,Industrials,Engineering & Construction,94.0,89.0,86.0,95.0,20.3729,18.9193,1060601.0,1229020.0,441.43,160.08,33906073600,NO,388.38,280.22,393.89,317.36,,13451,0.0,1503973,NO,NO,2018-11-09,13817900.0
330,RAPP,40.39,435922,Healthcare,Biotechnology,94.0,66.0,90.0,86.0,2.5838,2.5109,352616.0,450570.0,42.27,11.05,1931729536,NO,37.14,30.45,37.85,32.6,,515,0.0,435922,NO,NO,2025-09-08,13877600.0
333,ENVA,235.67,412123,Financial Services,Credit Services,94.0,98.0,95.0,90.0,8.0549,7.8806,280604.0,541200.0,236.29,99.61,5864623616,NO,176.4,147.73,185.63,163.1,,2921,0.0,412123,NO,NO,2015-12-18,2255200.0
337,ALKS,52.53,2885752,Healthcare,Drug Manufacturers - Specialty & Generic,94.0,97.0,95.0,95.0,2.1864,2.0279,2486422.0,3415360.0,55.28,25.17,8755479552,NO,39.89,32.84,42.45,34.9,,8801,0.0,2885752,NO,NO,2023-12-15,31745300.0
341,MPTI,99.06,156669,Technology,Electronic Components,94.0,90.0,90.0,95.0,6.4541,6.4141,104461.0,203330.0,102.0,38.41,428082144,NO,81.75,64.11,87.75,70.76,,937,0.0,156669,NO,NO,2024-03-26,555100.0
347,AXSM,241.12,1069211,Healthcare,Biotechnology,94.0,72.0,92.0,93.0,8.9957,8.7396,871056.0,1503190.0,260.19,96.09,12407979008,NO,225.22,171.61,234.29,191.86,,2665,0.0,1069211,NO,NO,2019-01-07,51674500.0
349,ATLC,104.27,300837,Financial Services,Credit Services,94.0,95.0,96.0,91.0,6.555,6.3857,108154.0,213960.0,112.61,45.74,1576353536,NO,84.97,65.28,90.06,69.97,,6837,0.0,300837,NO,NO,2001-01-31,14195200.0
350,DAVE,371.62,648326,Technology,Software - Application,94.0,97.0,96.0,93.0,27.2533,26.5804,603069.0,717920.0,374.21,152.21,4724868608,NO,272.84,222.41,285.56,230.81,,1300,1.65,648326,NO,NO,2022-07-27,3887050.0
360,VRT,306.97,6507003,Industrials,Electrical Equipment & Parts,94.0,25.0,76.0,95.0,22.025,17.6064,6130967.0,8027800.0,379.94,110.06,117909880832,NO,324.35,229.79,322.97,257.56,,1986,0.23,6507003,NO,NO,2026-03-20,87826600.0
363,ASTH,45.03,707512,Healthcare,Medical Care Facilities,94.0,93.0,95.0,95.0,1.6721,1.6379,522293.0,775920.0,45.08,18.08,2232741120,NO,37.61,28.66,39.32,29.73,,4352,0.43,707512,NO,NO,2021-09-17,6954600.0
366,ENTG,171.04,3554857,Technology,Semiconductor Equipment & Materials,94.0,95.0,91.0,96.0,15.0893,12.1593,3124996.0,4039370.0,186.94,67.97,26049390592,NO,146.92,114.11,148.57,127.16,,6530,0.06,3554857,NO,NO,2025-03-05,22198800.0
368,PLXS,287.8,351160,Technology,Electronic Components,94.0,82.0,90.0,95.0,13.1164,11.7129,336969.0,383260.0,307.06,115.35,7700497408,NO,269.39,194.14,276.69,219.58,,10176,0.0,352154,NO,NO,1997-12-18,7320200.0
371,ECPG,92.82,391080,Financial Services,Credit Services,94.0,92.0,86.0,94.0,2.8571,2.7979,337885.0,338140.0,92.93,35.67,1990099072,NO,82.49,62.04,83.82,70.25,,6784,0.0,391080,NO,NO,2005-01-20,6711200.0
374,SNX,270.05,1105614,Technology,Electronics & Computer Distribution,94.0,86.0,94.0,94.0,11.8921,11.6493,914985.0,1162700.0,296.47,133.78,21425496064,NO,249.63,181.3,256.65,196.55,,5682,0.0,1105614,NO,NO,2019-06-28,10486600.0
377,DGII,73.23,536136,Technology,Communication Equipment,93.0,82.0,92.0,94.0,2.9189,2.8511,333382.0,421190.0,73.55,30.69,2760932352,NO,63.76,48.51,66.57,53.77,,9248,0.44,541490,NO,NO,1996-07-03,3106100.0
379,HLIO,89.4,398251,Industrials,Specialty Industrial Machinery,93.0,82.0,88.0,93.0,3.6099,3.2956,389337.0,441310.0,95.05,32.76,2954344448,NO,78.25,64.8,81.05,70.44,,7413,0.0,398251,NO,NO,2018-02-02,3161100.0
383,INDV,41.26,2117216,Healthcare,Drug Manufacturers - Specialty & Generic,93.0,90.0,89.0,69.0,1.3446,1.3318,1983656.0,2111060.0,42.81,14.14,4877121024,NO,37.25,32.51,38.5,34.94,,2891,0.0,2117216,NO,NO,2025-07-31,24098600.0
394,FEIM,61.77,286866,Technology,Communication Equipment,93.0,3.0,89.0,58.0,6.3193,6.2743,182840.0,226940.0,80.0,18.7,607935808,NO,63.01,48.2,66.17,56.02,,11600,0.0,286866,NO,NO,2024-07-23,1981000.0
400,ELMD,42.23,87797,Healthcare,Medical Devices,93.0,82.0,94.0,91.0,1.9649,1.9285,61009.0,81510.0,43.05,17.73,349667104,NO,33.54,27.77,36.14,29.57,,3992,0.92,87797,NO,NO,2016-02-10,6309600.0
403,MOD,256.34,1548244,Consumer Cyclical,Auto Parts,93.0,16.0,72.0,95.0,19.19,17.7143,1296408.0,2161090.0,323.25,86.48,13538797568,NO,270.05,195.78,271.12,216.23,,11031,0.0,1548244,NO,NO,2026-06-26,9421600.0
405,GNRC,283.81,977819,Industrials,Specialty Industrial Machinery,93.0,62.0,90.0,96.0,16.8693,13.6507,862920.0,1012300.0,296.44,134.8,16707519488,NO,260.2,198.76,270.6,214.56,,4119,0.11,977819,NO,NO,2020-02-12,13312000.0
410,CRWD,742.91,4424565,Technology,Software - Infrastructure,93.0,87.0,96.0,92.0,33.2811,33.0646,3378179.0,2837630.0,785.66,342.72,189118742528,NO,600.52,497.57,645.46,502.64,,1771,1.2,4424565,NO,NO,2024-06-21,52256000.0
416,FLXS,73.05,82400,Consumer Cyclical,"Furnishings, Fixtures & Appliances",93.0,95.0,93.0,95.0,3.3232,3.2189,56262.0,61670.0,74.9,32.65,297727040,NO,57.64,46.99,61.04,50.93,,11665,0.0,84491,NO,NO,2020-06-26,949200.0
417,CYTK,87.26,3559232,Healthcare,Biotechnology,93.0,90.0,88.0,88.0,3.4714,3.185,2532272.0,3010940.0,87.35,32.66,11847342080,NO,72.87,64.63,75.97,67.65,,5575,3.41,3559232,NO,NO,2021-07-19,40137500.0
