Section,Type,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry,Rank
🔸 RS ≥ 85: Top Movers,Stock,FIVE,138.22,96,94.0,15.0,12.0,Consumer Cyclical,Specialty Retail,282
🔸 RS ≥ 85: Top Movers,Stock,ESEA,51.67,96,95.0,87.0,6.0,Industrials,Marine Shipping,296
🔸 RS ≥ 85: Top Movers,Stock,SLDB,6.64,96,24.0,3.0,0.0,Healthcare,Biotechnology,301
🔸 RS ≥ 85: Top Movers,Stock,CPS,23.6,96,95.0,60.0,56.0,Consumer Cyclical,Auto Parts,310
🔸 RS ≥ 85: Top Movers,Stock,URGN,18.24,96,63.0,17.0,4.0,Healthcare,Biotechnology,311
🔸 RS ≥ 85: Top Movers,Stock,KEN,48.63,96,93.0,90.0,85.0,Utilities,Utilities - Independent Power Producers,320
🔸 RS ≥ 85: Top Movers,Stock,TME,21.41,96,94.0,87.0,55.0,Communication Services,Internet Content & Information,322
🔸 RS ≥ 85: Top Movers,Stock,BIRD,11.31,95,91.0,2.0,1.0,Consumer Cyclical,Apparel Retail,366
🔸 RS ≥ 85: Top Movers,Stock,MLCO,8.74,95,82.0,17.0,11.0,Consumer Cyclical,Resorts & Casinos,370
🔸 RS ≥ 85: Top Movers,Stock,INDV,17.11,95,90.0,42.0,17.0,Healthcare,Drug Manufacturers - Specialty & Generic,380
🔸 RS ≥ 85: Top Movers,Stock,ASPS,11.6,95,94.0,70.0,0.0,Real Estate,Real Estate Services,421
🔸 RS ≥ 85: Top Movers,Stock,FENC,8.79,95,93.0,67.0,59.0,Healthcare,Biotechnology,433
🔸 RS ≥ 85: Top Movers,Stock,ZVRA,11.6,95,92.0,88.0,86.0,Healthcare,Biotechnology,434
🔸 RS ≥ 85: Top Movers,Stock,IE,11.55,95,92.0,14.0,1.0,Basic Materials,Copper,436
🔸 RS ≥ 85: Top Movers,Stock,AAMI,39.81,95,93.0,83.0,49.0,Financial Services,Asset Management,437
🔸 RS ≥ 85: Top Movers,Stock,RILYN,18.9,94,17.0,8.0,4.0,,,445
🔸 RS ≥ 85: Top Movers,Stock,COUR,12.12,94,86.0,30.0,8.0,Consumer Defensive,Education & Training Services,454
🔸 RS ≥ 85: Top Movers,Stock,CRSP,65.86,94,71.0,12.0,5.0,Healthcare,Biotechnology,512
