Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
920,CMPR,92.01,465510,Industrials,Specialty Business Services,89.0,8.0,82.0,83.0,3.6429,3.6386,184029.0,278250.0,106.13,42.08,2229594624,NO,90.63,75.25,92.05,80.04,5215,0.4,120700.0,NO,NO,2010-07-29,20730500.0
932,FTI,64.44,11053801,Energy,Oil & Gas Equipment & Services,89.0,17.0,15.0,92.0,2.3686,2.1857,4533825.0,4400670.0,77.78,31.88,25692350464,NO,70.84,55.99,70.12,62.35,6293,0.65,3979000.0,NO,NO,2021-02-11,186299232.0
939,GVA,160.39,2136495,Industrials,Engineering & Construction,89.0,93.0,87.0,87.0,5.0543,4.6121,728264.0,1034400.0,161.89,89.8,7016532992,NO,136.5,120.9,139.53,127.93,9111,1.3,575600.0,NO,NO,2019-12-20,8582800.0
941,R,260.93,425620,Industrials,Rental & Leasing Services,89.0,80.0,87.0,88.0,8.5464,8.185,409175.0,439720.0,284.25,157.67,10095646720,NO,249.61,206.27,253.81,218.83,11716,-0.5,907500.0,NO,NO,2017-06-16,9940400.0
942,ANDE,71.08,713267,Consumer Defensive,Food Distribution,89.0,42.0,18.0,86.0,2.3271,2.1807,315691.0,303320.0,82.11,31.84,2420562432,NO,72.65,59.9,72.64,66.2,7636,0.06,188700.0,NO,NO,2006-05-04,5467500.0
952,XENE,59.74,7843880,Healthcare,Biotechnology,89.0,89.0,54.0,88.0,1.8539,1.8357,1147611.0,1328850.0,63.95,30.0,5774800384,NO,54.85,46.89,54.76,49.49,2926,0.33,8840000.0,NO,NO,2021-10-04,63786400.0
959,RBC,630.36,333654,Industrials,Tools & Accessories,89.0,87.0,73.0,89.0,20.12,19.3679,238467.0,281740.0,667.69,364.5,19941664768,NO,597.36,504.2,595.55,544.51,5252,-0.46,560800.0,NO,NO,2005-08-10,4659200.0
961,NTAP,152.45,3198257,Technology,Software - Infrastructure,89.0,84.0,92.0,90.0,6.6886,6.67,2975166.0,3190460.0,192.83,93.69,29867991040,NO,136.04,115.69,141.32,116.41,7698,-0.28,3318600.0,NO,NO,2012-05-24,54215800.0
974,NTRA,261.91,3403535,Healthcare,Diagnostics & Research,89.0,96.0,89.0,69.0,13.1129,12.7036,1510816.0,1740090.0,271.47,131.81,37509537792,NO,212.4,208.58,213.89,215.03,2763,0.64,3411700.0,NO,NO,2022-03-09,41733200.0
975,LLY,1208.12,7701171,Healthcare,Drug Manufacturers - General,89.0,90.0,89.0,72.0,38.1007,37.1364,3213175.0,2948170.0,1215.57,623.78,1077330575360,NO,1031.3,975.91,1054.18,1024.49,13630,0.1,7721600.0,NO,NO,2019-03-06,74822500.0
977,MCRI,133.87,396544,Consumer Cyclical,Resorts & Casinos,89.0,89.0,90.0,89.0,3.6986,3.6114,157540.0,220470.0,134.8,85.66,2376127744,NO,119.57,102.32,122.25,104.82,8278,0.41,416400.0,NO,NO,1993-08-06,2800000.0
978,FSBC,48.44,465553,Financial Services,Banks - Regional,89.0,90.0,87.0,86.0,1.2746,1.2746,108641.0,166370.0,48.94,28.01,1035460800,NO,42.25,37.79,42.82,39.71,1292,-0.15,139400.0,NO,NO,2021-05-05,2211300.0
982,RPRX,56.23,6973580,Healthcare,Biotechnology,89.0,79.0,80.0,91.0,1.5164,1.4929,3674777.0,3856660.0,56.5,34.08,32379043840,NO,52.65,43.81,53.27,46.66,1515,-0.16,6979400.0,NO,NO,2020-06-16,27619300.0
986,C,141.76,17909590,Financial Services,Banks - Diversified,89.0,91.0,86.0,82.0,3.6729,3.3286,12301885.0,14564260.0,147.96,83.81,241782587392,NO,131.06,114.29,131.57,120.66,12472,0.91,12155900.0,YES,NO,2009-12-17,377263850.0
989,MNST,96.38,13338586,Consumer Defensive,Beverages - Non-Alcoholic,89.0,86.0,89.0,84.0,1.8207,1.7936,5325388.0,5665230.0,97.86,58.09,94260420608,NO,85.45,76.93,87.37,80.85,10215,0.78,13417400.0,YES,NO,2006-08-07,541976400.0
993,ESP,67.12,318307,Industrials,Electrical Equipment & Parts,89.0,90.0,76.0,91.0,3.0907,2.9736,32429.0,33510.0,74.77,36.0,201086288,NO,64.08,51.72,63.51,56.64,11663,0.52,30500.0,NO,NO,1981-05-15,255600.0
