Rank,Industry,Sector,Relative Strength,Relative Strength Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
64,Scientific & Technical Instruments,Technology,99.3,56,101.55,97.19,102.44,"MIND,ESE,TRMB,ITRN,COHR,ITRI,GRMN,TDY,LGL,ST,VPG,VNT,KEYS,MKSI,CGNX,FTV,BMI,NOVT,ASTC,MLAB"
65,Thermal Coal,Energy,99.14,55,98.08,111.97,95.65,"HNRG,NC,ARLP,BTU,NRP,CNR"
66,Auto & Truck Dealerships,Consumer Cyclical,99.12,55,103.09,101.72,114.35,"CANG,KFS,CVNA,KAR,SAH,AN,DRVN,CARG,GPI,PAG,LAD,RUSHB,CRMT,CWH,RUSHA,ABG,VVV,MCW,ACVA,KMX,VRM,GORV"
67,Discount Stores,Consumer Defensive,98.93,54,106.53,109.56,99.32,"DLTR,OLLI,DG,WMT,PSMT,BJ,COST,TGT,TBBB"
68,Telecom Services,Communication Services,98.84,53,99.26,104.2,91.47,"GOGO,SIFY,VEON,TIGO,TDS,SATS,LBRDA,LBRDK,KT,IDT,VOD,RDCM,GSAT,T,VIV,SNRE,TIMB,CXDO,TEF,CHT,RCI,USM,CHTR,SHEN,AMX,TMUS,GLIBK,TU,FYBR,GLIBA,LBRDP,KVHI,VZ,SKM,TEO,TLK,CMCSA,LILAK,IRDM,PHI,LILA,BCE,ATNI,TKC,CCOI,LBTYK,LBTYA,IQST,ATEX,CABO"
69,Packaged Foods,Consumer Defensive,98.61,53,89.71,94.66,95.42,"DDC,SENEA,BHST,KLG,HLF,LSF,MAMA,LWAY,LFVN,OTLY,SFD,CENTA,NATR,CENT,K,WEST,DAR,INGR,PPC,UTZ,NOMD,MZTI,USNA,POST,JBS,SJM,HRL,MKC,SMPL,LW,KHC,FTLF,BRID,GIS,JBSS,FLO,CPB,BRBR,JJSF,CAG,THS,FRPT"
70,Household & Personal Products,Consumer Defensive,98.16,52,95.29,85.72,90.16,"YSG,HIMS,NUS,ELF,EL,ACU,KVUE,EWCZ,UL,IPAR,PG,NWL,CHD,KMB,CL,UG,CLX,SPB,EPC,COTY,HELE"
71,Oil & Gas Equipment & Services,Energy,98.13,51,93.27,87.89,108.18,"FTK,SEI,NEXT,GEOS,ACDC,OIS,FTI,NPKI,NCSM,FET,BKR,EFXT,NGS,VAL,TS,VTOL,MRC,OII,LSE,INVX,TDW,USAC,LB,AROC,RNGR,OMSE,NOV,WFRD,WTTR,WHD,KGS,NOA,PUMP,SLB,HAL,CLB,NESR,LBRT,FLOC,AESI,XPRO,HLX"
72,Building Products & Equipment,Industrials,98.04,51,94.31,87.26,96.13,"PPIH,LMB,ARLO,JCI,GMS,SWIM,TT,AWI,SPXC,CARR,GFF,LII,JLHL,JBI,ROCK,CSL,TREX,MAS,LPX,BLDR,WMS,NX,OC,FBIN,ASPN,APOG,AAON,JELD"
73,Medical Distribution,Healthcare,97.67,50,102.69,101.88,97.88,"CAH,MCK,COR,HSIC,OMI"
74,Beverages - Non-Alcoholic,Consumer Defensive,97.64,49,97.64,107.45,96.18,"CELH,STKL,CCEP,COCO,MNST,FIZZ,KO,PRMB,KDP,KOF,PEP,COKE"
75,Insurance - Property & Casualty,Financial Services,97.61,48,105.1,116.9,108.07,"HRTG,ROOT,LMND,PRA,KINS,MCY,TRUP,HIPO,UVE,MKL,PLMR,HCI,SKWD,WRB,CINF,UFCS,L,HMN,DGICA,HIG,HGTY,TRV,THG,KNSL,AII,ALL,PGR,WTM,ORI,KMPR,STC,CB,AHL,GBLI,BOW,AFG,AIZ,SLDE,ACIC,SIGIP,NODK,CNA,RLI,SAFT,ASIC,SIGI"
