Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
226,PDFS,56.75,826180,Technology,Software - Application,95.0,65.0,95.0,96.0,5.1449,4.4085,807663.0,946660.0,71.69,18.12,,2375993088,NO,53.31,36.31,55.11,41.26,6268,0.0,826180,NO,NO,2026-05-14,5406700.0,-20.84
227,SPHR,151.51,705017,Communication Services,Entertainment,95.0,77.0,77.0,93.0,8.0557,8.0319,707183.0,777110.0,174.6,37.89,,5422876672,NO,143.83,104.93,147.07,122.58,1566,0.0,705017,NO,NO,2023-12-05,9793100.0,-13.22
228,FROG,98.1,2389524,Technology,Software - Application,95.0,90.0,96.0,92.0,5.0123,4.9494,3035608.0,5082620.0,98.93,34.05,,11881844736,NO,72.41,57.21,81.51,60.53,1456,0.0,2389524,NO,NO,2026-06-26,26093700.0,-0.84
229,ONTO,303.86,871452,Technology,Semiconductor Equipment & Materials,95.0,79.0,91.0,96.0,29.4621,23.1846,1234491.0,1740380.0,386.46,89.4,,15115079680,NO,293.65,206.8,292.32,240.86,1679,0.0,871452,NO,NO,2023-10-17,9552200.0,-21.37
230,FLKR,62.38,830809,ETF,ETF,95.0,9.0,94.0,96.0,3.9211,2.4141,779560.0,930830.0,72.49,23.84,,0,NO,60.93,42.19,62.19,48.19,2146,5.3,830809,NO,NO,2024-07-25,4655000.0,-13.95
231,PANW,357.53,8510893,Technology,Software - Infrastructure,95.0,95.0,97.0,96.0,14.037,13.8913,8375581.0,8053950.0,368.17,139.57,,291386949632,NO,254.97,202.25,284.22,208.1,3508,0.0,8510893,NO,NO,2017-03-01,130718400.0,-2.89
232,SOXX,581.51,7912867,ETF,ETF,95.0,14.0,95.0,96.0,37.3364,26.6879,9114318.0,11034730.0,655.95,232.33,,0,NO,548.63,377.99,564.85,424.18,6280,0.0,7917301,NO,NO,2025-10-10,26691200.0,-11.35
233,DAVE,396.0,550039,Technology,Software - Application,95.0,98.0,97.0,95.0,25.5255,24.7712,615737.0,682910.0,404.44,152.21,,5034841600,NO,282.14,225.67,299.47,237.95,1304,0.32,557850,NO,NO,2022-07-27,3887050.0,-2.09
234,CRS,619.25,798683,Industrials,Metal Fabrication,95.0,95.0,94.0,96.0,22.9282,22.2832,752665.0,1162700.0,625.99,228.0,,30767814656,NO,492.81,374.51,517.97,421.57,13455,1.23,798683,NO,NO,2020-07-31,10557100.0,-1.08
237,MYRG,442.72,217431,Industrials,Engineering & Construction,95.0,47.0,94.0,96.0,26.5579,24.785,306657.0,432410.0,503.57,171.51,,6893608960,NO,442.13,292.44,452.34,333.96,4500,0.9,217431,NO,NO,2009-06-26,3646200.0,-12.08
