Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1246,ICLR,169.86,1443048,Healthcare,Diagnostics & Research,83.0,98.0,95.0,15.0,8.0314,7.5071,1200916.0,1144590.0,211.0,66.57,13011536896,NO,128.87,149.18,132.02,138.94,7072,0.0,1443200.0,NO,NO,2026-02-12,23558100.0,-19.5
1264,SPG,226.89,1690753,Real Estate,REIT - Retail,83.0,87.0,84.0,81.0,4.8179,4.4893,1816140.0,3443950.0,228.58,158.0,86213574656,NO,207.0,191.55,208.26,196.44,8188,0.0,8719600.0,NO,NO,2009-05-07,29396654.0,-0.74
1268,MLI,128.2,641057,Industrials,Metal Fabrication,83.0,15.0,75.0,62.0,4.115,3.7879,689195.0,866230.0,141.9,78.57,14175152128,NO,134.14,117.89,134.48,123.93,8898,0.0,1219100.0,NO,NO,2024-11-25,23535300.0,-9.65
1271,IEX,227.19,540113,Industrials,Specialty Industrial Machinery,83.0,83.0,79.0,85.0,5.7514,5.5193,713420.0,823210.0,230.18,157.25,16815480832,NO,213.81,190.3,214.99,200.4,9335,0.0,1134600.0,NO,NO,2019-08-08,17655100.0,-1.3
1275,MAR,377.31,2405767,Consumer Cyclical,Lodging,83.0,28.0,73.0,80.0,10.2071,10.0771,1489532.0,1797600.0,410.98,253.76,99492356096,NO,372.78,322.15,374.18,342.57,7110,0.0,2425800.0,NO,NO,2020-03-18,25881800.0,-8.19
1277,SCHA,35.49,3130833,ETF,ETF,83.0,78.0,82.0,82.0,0.7879,0.6536,2185506.0,2115110.0,35.8,24.95,0,NO,33.45,30.15,33.7,31.11,4186,0.0,3161700.0,NO,NO,2024-02-13,32822600.0,-0.87
1282,ARGX,887.18,400596,Healthcare,Biotechnology,83.0,86.0,87.0,44.0,36.4734,32.7737,342493.0,443070.0,934.62,510.06,55444283392,NO,827.88,813.9,833.89,810.5,2288,1.21,531800.0,NO,NO,2023-12-20,5438700.0,-5.08
1283,FXL,207.14,71608,ETF,ETF,83.0,65.0,87.0,81.0,6.6614,5.4179,132398.0,714440.0,224.2,151.62,0,NO,199.49,176.06,201.7,179.39,4813,0.0,6408100.0,NO,NO,2017-11-10,17140900.0,-7.61
1294,WELL,227.33,3000987,Real Estate,REIT - Healthcare Facilities,83.0,82.0,73.0,81.0,6.0493,5.8621,3374596.0,4236540.0,228.53,148.97,160475529216,NO,212.02,196.05,213.07,202.61,11662,1.47,4944800.0,NO,NO,2011-03-02,24268600.0,-0.53
1312,BIIB,216.03,2164635,Healthcare,Drug Manufacturers - General,82.0,76.0,51.0,72.0,6.1786,5.9221,1228543.0,1335130.0,218.06,121.05,31894046720,NO,192.34,175.87,194.15,185.7,8755,1.02,1328900.0,NO,NO,2005-02-28,117940000.0,-0.93
