Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
314,VCTR,120.64,115.34,1138870.0,Financial Services,Asset Management,94.0,91.0,94.0,94.0,3.4788,3.4563,524474.0,491470.0,123.23,57.03,,7420514816,NO,111.48,99.5,78.49,102.08,84.63,2148,1.27,1138870,NO,NO,2025-07-17,8797500.0,-2.1
324,BTSG,61.35,57.23,2549823.0,Healthcare,Health Information Services,94.0,2.0,46.0,93.0,2.5553,2.506,3797444.0,2060570.0,73.75,22.86,,12138971136,NO,60.93,66.03,49.17,65.71,54.59,648,0.0,2549823,NO,NO,2026-07-16,32760800.0,-16.81
327,PAYC,232.31,231.7,548948.0,Technology,Software - Application,94.0,97.0,97.0,96.0,7.5216,7.2726,940888.0,661280.0,233.46,104.9,,10470588416,NO,207.77,166.43,146.75,175.92,144.3,3110,0.0,548948,NO,NO,2026-03-20,14557300.0,-0.49
330,HUM,391.06,389.71,908122.0,Healthcare,Healthcare Plans,94.0,39.0,92.0,97.0,13.0305,12.8627,1396150.0,1028300.0,428.88,163.11,,46958604288,NO,378.8,384.03,274.31,387.0,287.31,11253,0.07,908122,NO,NO,2008-03-12,64314100.0,-8.82
334,CRWD,189.18,185.38,12947753.0,Technology,Software - Infrastructure,94.0,65.0,86.0,97.0,9.2171,9.0865,10614893.0,7621860.0,227.5,85.68,,192634273792,NO,205.44,194.11,139.62,194.62,147.34,1812,0.0,12947753,YES,NO,2024-06-21,209024000.0,-16.84
340,VIRT,65.74,65.2,968815.0,Financial Services,Capital Markets,94.0,86.0,93.0,95.0,3.0644,3.0108,1387590.0,2051090.0,68.68,31.55,,5804886528,NO,59.78,60.39,46.62,61.2,51.93,2858,0.0,968815,NO,NO,2024-06-21,16222000.0,-4.28
360,HALO,107.06,109.32,1705596.0,Healthcare,Biotechnology,94.0,94.0,96.0,94.0,3.9421,3.58,2016123.0,2040310.0,109.65,61.23,,12151095296,NO,98.25,85.31,72.87,88.99,75.13,5648,0.0,1705596,NO,NO,2025-06-27,21399500.0,-2.36
370,GUSH,43.01,42.14,638842.0,ETF,ETF,94.0,92.0,90.0,93.0,1.9632,1.8096,829257.0,621420.0,48.66,20.8,,0,NO,40.61,36.54,32.78,37.55,36.71,2828,0.0,638842,NO,NO,2020-04-02,39570400.0,-11.61
378,TIGO,96.16,95.23,1020102.0,Communication Services,Telecom Services,94.0,39.0,83.0,92.0,3.6044,3.3897,1749673.0,1108650.0,107.13,44.88,,16126994432,NO,94.26,93.54,74.81,94.92,83.79,1918,0.05,1020102,NO,NO,2026-05-29,15237500.0,-10.24
384,CRDO,226.49,226.51,2198148.0,Technology,Semiconductors,93.0,90.0,52.0,96.0,19.2342,16.3067,7566668.0,4424630.0,308.67,86.48,,42235379712,NO,237.61,239.54,173.75,232.74,184.28,1149,0.0,2198148,NO,NO,2026-06-26,38637200.0,-26.62
387,TGT,164.04,163.47,4477201.0,Consumer Defensive,Discount Stores,93.0,88.0,92.0,92.0,5.4707,5.0107,4534152.0,5886860.0,170.75,83.44,,74521968640,NO,154.14,142.86,119.95,146.03,130.32,13492,0.13,4477201,NO,NO,1987-10-20,80400000.0,-3.93
391,INSW,93.67,99.05,616364.0,Energy,Oil & Gas Midstream,93.0,32.0,86.0,90.0,3.4176,3.2239,548273.0,463620.0,102.36,42.26,,4639598080,NO,95.4,89.92,72.44,90.83,80.95,2456,0.0,616364,NO,NO,2024-12-27,7364100.0,-8.49
399,EXPE,333.44,337.97,1184103.0,Consumer Cyclical,Travel Services,93.0,87.0,96.0,95.0,11.1393,10.8729,1572377.0,1311240.0,341.69,185.34,,40020164608,NO,318.94,285.55,257.01,292.42,251.24,5308,0.0,1184103,NO,NO,2019-11-07,30819900.0,-2.41
402,EWY,179.18,180.15,7951953.0,ETF,ETF,93.0,90.0,9.0,83.0,6.7593,4.5307,22191007.0,17013650.0,220.89,71.39,,0,NO,171.63,178.06,144.4,174.69,162.52,6611,0.0,7951953,NO,NO,2026-03-03,65699600.0,-18.88
404,UCO,41.75,41.24,1776706.0,ETF,ETF,93.0,85.0,16.0,95.0,1.9196,1.5232,3064490.0,2520830.0,52.94,18.12,,0,NO,40.98,38.7,33.44,39.05,38.7,4464,0.0,1776706,NO,NO,2020-04-21,207308000.0,-21.14
407,FLKR,59.19,59.43,431163.0,ETF,ETF,93.0,91.0,11.0,84.0,2.0785,1.4086,840530.0,502310.0,72.49,24.31,,0,NO,56.6,58.45,47.16,57.37,52.91,2183,0.0,431163,NO,NO,2024-07-25,4655000.0,-18.35
409,ASML,1745.64,1744.16,847368.0,Technology,Semiconductor Equipment & Materials,93.0,84.0,77.0,76.0,51.88,40.9986,1854169.0,1162270.0,1999.96,716.2,,670500323328,NO,1748.76,1773.02,1457.17,1758.94,1583.4,7915,0.0,847368,NO,NO,1995-03-15,71337728.0,-12.72
419,ANET,202.25,190.94,7610378.0,Technology,Computer Hardware,93.0,91.0,93.0,94.0,8.2368,7.5146,8017682.0,6495750.0,214.89,114.52,,255082692608,NO,192.13,179.21,149.83,180.59,158.07,3074,0.0,7610378,NO,NO,2018-08-27,178592000.0,-5.88
420,ABNB,188.07,190.5,3367496.0,Consumer Cyclical,Travel Services,93.0,92.0,95.0,92.0,6.9811,5.9076,4264147.0,4799450.0,193.45,110.81,,112613621760,NO,174.77,156.93,137.19,161.92,142.16,1433,0.0,3367496,NO,NO,2023-09-15,74788500.0,-2.78
421,XMTR,88.08,87.78,498080.0,Industrials,Industrial Distribution,93.0,75.0,12.0,97.0,4.2081,4.1324,802657.0,466730.0,106.08,35.86,,5049060352,NO,88.75,91.27,67.7,91.39,71.18,1295,0.0,498080,NO,NO,2026-02-24,6999500.0,-16.97
425,NET,284.89,277.58,3098952.0,Technology,Software - Infrastructure,93.0,80.0,94.0,95.0,17.9363,16.6363,3709376.0,3061040.0,332.22,158.83,,101443551232,NO,295.74,271.04,219.97,276.09,228.8,1747,0.0,3098952,NO,NO,2019-09-13,35993700.0,-14.25
