Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
SNOW,501,2024-06-24,2026-06-23,Sufficient,0.3227,0.0411,-0.0003,0.0869,0.1546,0.1326,101.95,101.95,OK
PROF,501,2024-06-24,2026-06-23,Sufficient,0.2074,-0.1705,0.5023,0.0268,0.1547,0.1326,101.95,101.95,OK
DLR,501,2024-06-24,2026-06-23,Sufficient,0.105,0.3182,0.1332,0.1116,0.1546,0.1326,101.95,101.95,OK
QQH,501,2024-06-24,2026-06-23,Sufficient,0.1513,0.081,0.0844,0.3045,0.1545,0.1326,101.94,101.94,OK
FLCV,475,2024-07-31,2026-06-23,Sufficient,0.1247,0.1315,0.1577,0.2342,0.1545,0.1326,101.94,101.94,OK
LSAF,501,2024-06-24,2026-06-23,Sufficient,0.1231,0.1268,0.1537,0.246,0.1545,0.1326,101.94,101.94,OK
TGLR,501,2024-06-24,2026-06-23,Sufficient,0.1097,0.1213,0.1378,0.294,0.1545,0.1326,101.94,101.94,OK
SMLV,501,2024-06-24,2026-06-23,Sufficient,0.1229,0.1272,0.1566,0.2433,0.1546,0.1326,101.94,101.94,OK
FDD,501,2024-06-24,2026-06-23,Sufficient,0.1015,0.1215,0.1911,0.2565,0.1544,0.1326,101.93,101.93,OK
ACWX,501,2024-06-24,2026-06-23,Sufficient,0.1014,0.1356,0.1587,0.2741,0.1543,0.1326,101.92,101.92,OK
MAS,501,2024-06-24,2026-06-23,Sufficient,0.2185,0.1244,0.0134,0.1964,0.1543,0.1326,101.92,101.92,OK
VEU,501,2024-06-24,2026-06-23,Sufficient,0.106,0.1232,0.1619,0.274,0.1542,0.1326,101.91,101.91,OK
IVOO,501,2024-06-24,2026-06-23,Sufficient,0.1219,0.1335,0.1472,0.2453,0.154,0.1326,101.89,101.89,OK
BRIE,167,2025-10-22,2026-06-23,Short: 167d,0.1139,0.1444,0.1987,0.1987,0.1539,0.1326,101.89,101.89,OK
